"ISIC Rev. 4","CPC 2.1","CPA 2.1","Review","Redundancy","Unmatched","NoMatchFromA","NoMatchFromB","ISIC Rev. 4_Description","CPC 2.1_CPC21title","CPA 2.1_Name","CPA 2.1_Include","CPA 2.1_Exclude","CPA 2.1_URI","ISIC Rev. 4_ISIC4partial","ISIC Rev. 4_CPC21partial","CPA 2.1_CPA 2.1 label","CPA 2.1_CPC 2.1 label","CPA 2.1_Count of CPA 2.1","CPA 2.1_Count of CPC 2.1","CPA 2.1_Comment"
"","","01.26.9","","0","1","","1","","","Other oleaginous fruits","","","01269","","","","","","",""
"","","01.27","","0","1","","1","","","Beverage crops","","","0127","","","","","","",""
"","","01.27.1","","0","1","","1","","","Beverage crops","","","01271","","","","","","",""
"","","01.28","","0","1","","1","","","Spices, aromatic, drug and pharmaceutical crops","","","0128","","","","","","",""
"","","01.28.1","","0","1","","1","","","Spices, not processed","","","01281","","","","","","",""
"","","01.28.2","","0","1","","1","","","Hop cones","","","01282","","","","","","",""
"","","01.28.3","","0","1","","1","","","Plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes","","","01283","","","","","","",""
"","","01.29","","0","1","","1","","","Other perennial crops","","","0129","","","","","","",""
"","","01.29.1","","0","1","","1","","","Natural rubber","","","01291","","","","","","",""
"","","01.29.2","","0","1","","1","","","Christmas trees, cut","","","01292","","","","","","",""
"","","01.29.3","","0","1","","1","","","Vegetable materials of a kind used primarily for plaiting or as stuffing or padding, or in dyeing or tanning","","","01293","","","","","","",""
"","","01.3","","0","1","","1","","","Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn","","","013","","","","","","",""
"","","01.30","","0","1","","1","","","Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn","","","0130","","","","","","",""
"","","01.30.1","","0","1","","1","","","Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn","","","01301","","","","","","",""
"","","01.4","","0","1","","1","","","Live animals and animal products","","","014","","","","","","",""
"","","01.41","","0","1","","1","","","Dairy cattle, live and raw milk from dairy cattle","","","0141","","","","","","",""
"","","01.41.1","","0","1","","1","","","Dairy cattle, live","","","01411","","","","","","",""
"","","01.41.2","","0","1","","1","","","Raw milk from dairy cattle","","","01412","","","","","","",""
"","","01.42","","0","1","","1","","","Other cattle and buffaloes, live and their semen","","","0142","","","","","","",""
"","","01.42.1","","0","1","","1","","","Other cattle and buffaloes, live","","","01421","","","","","","",""
"","","01.42.2","","0","1","","1","","","Cattle and buffalo semen","","","01422","","","","","","",""
"","","01.43","","0","1","","1","","","Horses and other equines, live","","","0143","","","","","","",""
"","","01.43.1","","0","1","","1","","","Horses and other equines, live","","","01431","","","","","","",""
"","","01.44","","0","1","","1","","","Camels and camelids, live","","","0144","","","","","","",""
"","","01.44.1","","0","1","","1","","","Camels and camelids, live","","","01441","","","","","","",""
"","","01.45","","0","1","","1","","","Sheep and goats, live; raw milk and shorn wool from sheep and goats","","","0145","","","","","","",""
"","","01.45.1","","0","1","","1","","","Sheep and goats, live","","","01451","","","","","","",""
"","","01.45.2","","0","1","","1","","","Raw milk from sheep and goats","","","01452","","","","","","",""
"","","01.45.3","","0","1","","1","","","Shorn wool from sheep and goats, greasy, including fleece-washed shorn wool","","","01453","","","","","","",""
"","","01.46","","0","1","","1","","","Swine, live","","","0146","","","","","","",""
"","","01.46.1","","0","1","","1","","","Swine, live","","","01461","","","","","","",""
"","","01.47","","0","1","","1","","","Poultry, live and eggs","","This class excludes:
- feather and down, see 10.12.50","0147","","","","","","",""
"","","01.47.1","","0","1","","1","","","Poultry, live","","","01471","","","","","","",""
"","","01.47.2","","0","1","","1","","","Eggs in shell, fresh","","","01472","","","","","","",""
"","","01.49","","0","1","","1","","","Other farmed animals and animal products","","","0149","","","","","","",""
"","","01.49.1","","0","1","","1","","","Other farmed animals, live","","","01491","","","","","","",""
"","","01.49.2","","0","1","","1","","","Other farm animal products","","","01492","","","","","","",""
"","","01.49.3","","0","1","","1","","","Raw fur skins and miscellaneous raw hides and skins","","","01493","","","","","","",""
"","","01.6","","0","1","","1","","","Agricultural and animal husbandry services (except veterinary services)","","This group excludes:
- veterinary services, see 75.00.1","016","","","","","","",""
"","","01.61","","0","1","","1","","","Support services to crop production","","","0161","","","","","","",""
"","","01.61.1","","0","1","","1","","","Support services to crop production","","","01611","","","","","","",""
"","","01.62","","0","1","","1","","","Support services to animal production","","","0162","","","","","","",""
"","","01.62.1","","0","1","","1","","","Support services to animal production","","","01621","","","","","","",""
"","","01.63","","0","1","","1","","","Post-harvest crop services","","","0163","","","","","","",""
"","","01.63.1","","0","1","","1","","","Post-harvest crop services","","","01631","","","","","","",""
"","","01.64","","0","1","","1","","","Seed processing services for propagation","","","0164","","","","","","",""
"","","01.64.1","","0","1","","1","","","Seed processing services for propagation","","","01641","","","","","","",""
"","","01.7","","0","1","","1","","","Hunting and trapping and related services","","","017","","","","","","",""
"","","01.70","","0","1","","1","","","Hunting and trapping and related services","","","0170","","","","","","",""
"","","01.70.1","","0","1","","1","","","Hunting and trapping and related services","","","01701","","","","","","",""
"","","02","","0","1","","1","","","Products of forestry, logging and related services","","This division excludes:
- 	sawing and planing of wood, see appropriate group of division 16","02","","","","","","",""
"","","02.1","","0","1","","1","","","Forest trees and nursery services","","","021","","","","","","",""
"","","02.10","","0","1","","1","","","Forest trees and nursery services","","","0210","","","","","","",""
"","","02.10.1","","0","1","","1","","","Live forest tree plants; forest tree seeds","","","02101","","","","","","",""
"","","02.10.2","","0","1","","1","","","Forest trees nurseries services","","","02102","","","","","","",""
"","","02.10.3","","0","1","","1","","","Forest trees","","","02103","","","","","","",""
"","","02.2","","0","1","","1","","","Wood in the rough","","This group excludes:
- 	wood in chips or particles, see 16.10.25
- 	wood in the rough in the form of crushed piles and sticks, see 16.10.39","022","","","","","","",""
"","","02.20","","0","1","","1","","","Wood in the rough","","","0220","","","","","","",""
"","","02.20.1","","0","1","","1","","","Wood in the rough","","","02201","","","","","","",""
"","","02.3","","0","1","","1","","","Wild growing non-wood products","","","023","","","","","","",""
"","","02.30","","0","1","","1","","","Wild growing non-wood products","","","0230","","","","","","",""
"","","02.30.1","","0","1","","1","","","Natural gums","","","02301","","","","","","",""
"","","02.30.2","","0","1","","1","","","Natural cork, raw or simply prepared","","","02302","","","","","","",""
"","","02.30.3","","0","1","","1","","","Parts of plants, grasses, mosses and lichens suitable for ornamental purposes","","","02303","","","","","","",""
"","","02.30.4","","0","1","","1","","","Wild growing edible products","","","02304","","","","","","",""
"","","02.4","","0","1","","1","","","Support services to forestry","","","024","","","","","","",""
"","","02.40","","0","1","","1","","","Support services to forestry","","","0240","","","","","","",""
"","","02.40.1","","0","1","","1","","","Support services to forestry","","","02401","","","","","","",""
"","","03","","0","1","","1","","","Fish and other fishing products; aquaculture products; support services to fishing","","This division excludes:
- services auxiliary to sport and recreational fishing, see 93.19.13","03","","","","","","",""
"","","03.0","","0","1","","1","","","Fish and other fishing products; aquaculture products; support services to fishing","","","030","","","","","","",""
"","","03.00","","0","1","","1","","","Fish and other fishing products; aquaculture products; support services to fishing","","","0300","","","","","","",""
"","","03.00.1","","0","1","","1","","","Fish, live, not for human consumption","","","03001","","","","","","",""
"","","03.00.2","","0","1","","1","","","Fish live, fresh or chilled, for human consumption","","","03002","","","","","","",""
"","","03.00.3","","0","1","","1","","","Crustaceans, not frozen","","","03003","","","","","","",""
"","","03.00.4","","0","1","","1","","","Molluscs and other aquatic invertebrates, live, fresh or chilled","","","03004","","","","","","",""
"","","03.00.5","","0","1","","1","","","Pearls, unworked","","","03005","","","","","","",""
"","","03.00.6","","0","1","","1","","","Other aquatic plants, animals and their products","","","03006","","","","","","",""
"","","03.00.7","","0","1","","1","","","Support services to fishing and aquaculture","","","03007","","","","","","",""
"","","05","","0","1","","1","","","Coal and lignite","","This division excludes:
- 	test drillings services for coal and services connected with coal extraction, see 09.90.11
- coke oven products, see 19.10
- coal briquettes, see 19.20.1
- site preparation for the extraction of coal, see 43.12.11","05","","","","","","",""
"","","05.1","","0","1","","1","","","Hard coal","","","051","","","","","","",""
"","","05.10","","0","1","","1","","","Hard coal","","","0510","","","","","","",""
"","","05.10.1","","0","1","","1","","","Hard coal","","","05101","","","","","","",""
"","","05.2","","0","1","","1","","","Lignite","","","052","","","","","","",""
"","","05.20","","0","1","","1","","","Lignite","","","0520","","","","","","",""
"","","05.20.1","","0","1","","1","","","Lignite","","","05201","","","","","","",""
"","","06","","0","1","","1","","","Crude petroleum and natural gas","","This division excludes:
- 	probing, test drillings and exploration works in connection with petroleum and gas extraction, see 09.10.1
- services related to operation of oil and gas fields, on a fee or contract basis, see 09.10.1
- 	refined petroleum products, see 19.20
- transport via pipeline of crude or refined petroleum and petroleum products, see 49.50.11
- transport via pipeline of natural gas, see 49.50.12
- 	geophysical surveys and cartographic activities, see 71.12.3","06","","","","","","",""
"","","06.1","","0","1","","1","","","Crude petroleum","","","061","","","","","","",""
"","","06.10","","0","1","","1","","","Crude petroleum","","","0610","","","","","","",""
"","","06.10.1","","0","1","","1","","","Petroleum oils and oils obtained from bituminous minerals, crude","","","06101","","","","","","",""
"","","06.10.2","","0","1","","1","","","Bituminous or oil shale and tar sands","","","06102","","","","","","",""
"","","06.2","","0","1","","1","","","Natural gas, liquefied or in gaseous state","","","062","","","","","","",""
"","","06.20","","0","1","","1","","","Natural gas, liquefied or in gaseous state","","","0620","","","","","","",""
"","","06.20.1","","0","1","","1","","","Natural gas, liquefied or in gaseous state","","","06201","","","","","","",""
"","","07","","0","1","","1","","","Metal ores","","This division excludes:
- roasted iron pyrites, see 20.13.67
- aluminium hydroxide, see 20.13.25 
- aluminium oxide, see 24.42.12","07","","","","","","",""
"","","07.1","","0","1","","1","","","Iron ores","","","071","","","","","","",""
"","","07.10","","0","1","","1","","","Iron ores","","","0710","","","","","","",""
"","","07.10.1","","0","1","","1","","","Iron ores","","","07101","","","","","","",""
"","","07.2","","0","1","","1","","","Non-ferrous metal ores","","","072","","","","","","",""
"","","07.21","","0","1","","1","","","Uranium and thorium ores","","","0721","","","","","","",""
"","","07.21.1","","0","1","","1","","","Uranium and thorium ores","","","07211","","","","","","",""
"","","07.29","","0","1","","1","","","Other non-ferrous metal ores and concentrates","","","0729","","","","","","",""
"","","07.29.1","","0","1","","1","","","Other non-ferrous metal ores and concentrates","","","07291","","","","","","",""
"","","08","","0","1","","1","","","Other mining and quarrying products","","This division excludes:
- processing of extracted raw materials (excl. crushing, grinding, cutting, cleaning, drying, sorting and mixing), see appropriate parts of section C","08","","","","","","",""
"","","08.1","","0","1","","1","","","Stone, sand and clay","","","081","","","","","","",""
"","","08.11","","0","1","","1","","","Ornamental and building stone, limestone, gypsum, chalk and slate","","","0811","","","","","","",""
"","","08.11.1","","0","1","","1","","","Ornamental or building stone","","","08111","","","","","","",""
"","","08.11.2","","0","1","","1","","","Limestone and gypsum","","","08112","","","","","","",""
"","","08.11.3","","0","1","","1","","","Chalk and uncalcined dolomite","","","08113","","","","","","",""
"","","08.11.4","","0","1","","1","","","Slate","","","08114","","","","","","",""
"","","08.12","","0","1","","1","","","Gravel, sand, clays and kaolin","","","0812","","","","","","",""
"","","08.12.1","","0","1","","1","","","Gravel and sand","","","08121","","","","","","",""
"","","08.12.2","","0","1","","1","","","Clays and kaolin","","","08122","","","","","","",""
"","","08.9","","0","1","","1","","","Mining and quarrying products n.e.c.","","","089","","","","","","",""
"","","08.91","","0","1","","1","","","Chemical and fertiliser minerals","","","0891","","","","","","",""
"","","08.91.1","","0","1","","1","","","Chemical and fertiliser minerals","","","08911","","","","","","",""
"","","08.92","","0","1","","1","","","Peat","","","0892","","","","","","",""
"","","08.92.1","","0","1","","1","","","Peat","","","08921","","","","","","",""
"","","08.93","","0","1","","1","","","Salt and pure sodium chloride; sea water","","","0893","","","","","","",""
"","","08.93.1","","0","1","","1","","","Salt and pure sodium chloride; sea water","","","08931","","","","","","",""
"","","08.99","","0","1","","1","","","Other mining and quarrying products n.e.c.","","","0899","","","","","","",""
"","","08.99.1","","0","1","","1","","","Bitumen and asphalt, natural; asphaltites and asphaltic rock","","","08991","","","","","","",""
"","","08.99.2","","0","1","","1","","","Precious and semi-precious stones; industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural corundum, natural garnet and other natural abrasives; other minerals","","","08992","","","","","","",""
"","","09","","0","1","","1","","","Mining support services","","This division excludes: 
- specialised repair services of mining machinery, see 33.12.24
- services related to liquefaction and regasification of natural gas for transportation off the mine site, see 52.21","09","","","","","","",""
"","","09.1","","0","1","","1","","","Support services to petroleum and natural gas extraction","","","091","","","","","","",""
"","","09.10","","0","1","","1","","","Support services to petroleum and natural gas extraction","","","0910","","","","","","",""
"","","09.10.1","","0","1","","1","","","Support services to petroleum and natural gas extraction","","This category excludes:
- services performed by operators of oil or gas fields, see 06.10, 06.20
- specialised repair services of mining machinery, see 33.12.24","09101","","","","","","",""
"","","09.9","","0","1","","1","","","Support services to other mining and quarrying","","","099","","","","","","",""
"","","09.90","","0","1","","1","","","Support services to other mining and quarrying","","","0990","","","","","","",""
"","","09.90.1","","0","1","","1","","","Support services to other mining and quarrying","This category includes support services on a fee or contract basis, required for mining activities of divisions 05, 07 and 08, such as:
- draining and pumping of mines
- test drilling in connection with mining
- exploration services in connection with mining","This category excludes:
- services performed by operators of mines or quarries, see divisions 05, 07 or 08
- specialised repair services of mining machinery, see 33.12.24
- geological, geophysical and related prospecting and consulting services, see 71.12.3","09901","","","","","","",""
"","","10","","0","1","","1","","","Food products","This division includes: 
- a variety of products that are the effect of farming, forestry, hunting and fishing, such as meat, fish, fruits and vegetables, fats and oils, dairy products, grain mill products, animal feeds and other food products intended for humans or animals
- semi-finished products that are not directly food products 
- by-products of different value in use (e.g. the hides, oil-cake from the production of vegetable oils)
- treatment of slaughterhouse waste/waste seized at slaughterhouses/for the production of animal feed","This division excludes:
- processing of food waste and waste from the production of beverages into secondary raw materials, see 38.3, and their removal, see 38.21
- food preparation for immediate consumption (e.g. in restaurants), see 56.10.1
- services related to the packaging of meat carried out on a fee or contract basis, see 82.92.10","10","","","","","","",""
"","","10.1","","0","1","","1","","","Preserved meat and meat products","","","101","","","","","","",""
"","","10.11","","0","1","","1","","","Processed and preserved meat","","","1011","","","","","","",""
"","","10.11.1","","0","1","","1","","","Meat of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled","","","10111","","","","","","",""
"","","10.11.2","","0","1","","1","","","Edible offal of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled","","","10112","","","","","","",""
"","","10.11.3","","0","1","","1","","","Frozen meat and edible offal; other meat and edible offal","","","10113","","","","","","",""
"","","10.11.4","","0","1","","1","","","Pulled wool and raw hides and skins of bovine or equine animals, sheep and goats","","","10114","","","","","","",""
"","","10.11.5","","0","1","","1","","","Fats of bovine animals, sheep, goats or pigs","","","10115","","","","","","",""
"","","10.11.6","","0","1","","1","","","Raw offal, inedible","","","10116","","","","","","",""
"","39110","10.11.60","","0","1","","0","","Raw offal, inedible (including pigs' bristles, horse hair, animal guts, bird skins, feathers, bones and ivory)","Raw offal, inedible","","This subcategory excludes:
- bladders, intestines and other waste of fish, see 10.20.42","101160","","","Raw offal, inedible","Raw offal, inedible (including pigs' bristles, horse hair, animal guts, bird skins, feathers, bones and ivory)","1","2",""
"","","10.11.9","","0","1","","1","","","Sub-contracted operations as part of manufacturing of processed and preserved meat","","","10119","","","","","","",""
"","","10.12","","0","1","","1","","","Processed and preserved poultry meat","","","1012","","","","","","",""
"","","10.12.1","","0","1","","1","","","Meat of poultry, fresh or chilled","","","10121","","","","","","",""
"","","10.12.2","","0","1","","1","","","Meat of poultry, frozen","","","10122","","","","","","",""
"","","10.12.3","","0","1","","1","","","Fats of poultry","","","10123","","","","","","",""
"","","10.12.4","","0","1","","1","","","Edible offal of poultry","","","10124","","","","","","",""
"","","10.12.5","","0","1","","1","","","Feathers and skins of birds with feathers","","","10125","","","","","","",""
"","39110","10.12.50","","0","1","","0","","Raw offal, inedible (including pigs' bristles, horse hair, animal guts, bird skins, feathers, bones and ivory)","Feathers and skins of birds with feathers","","","101250","","","Feathers and skins of birds with feathers","Raw offal, inedible (including pigs' bristles, horse hair, animal guts, bird skins, feathers, bones and ivory)","1","2",""
"","","10.12.9","","0","1","","1","","","Sub-contracted operations as part of manufacturing of processed and preserved poultry meat","","","10129","","","","","","",""
"","","10.13","","0","1","","1","","","Meat and poultry meat products","","","1013","","","","","","",""
"","","10.13.1","","0","1","","1","","","Preserves and preparations of meat, meat offal or blood","","","10131","","","","","","",""
"","","10.13.9","","0","1","","1","","","Cooking and other preparation services for the production of meat products; sub-contracted operations as part of manufacturing of meat and poultry meat products","","","10139","","","","","","",""
"","","10.2","","0","1","","1","","","Processed and preserved fish, crustaceans and molluscs","","","102","","","","","","",""
"","","10.20","","0","1","","1","","","Processed and preserved fish, crustaceans and molluscs","","This class excludes:
- 	fats and oils of fish and marine mammals, see 10.41.12 
-	 prepared meals and dishes based on fish, crustaceans and molluscs, see 10.85.12
- fish soups, see 10.89.11","1020","","","","","","",""
"","","10.20.1","","0","1","","1","","","Fish, fresh, chilled or frozen","","","10201","","","","","","",""
"","","10.20.2","","0","1","","1","","","Fish, otherwise prepared or preserved; caviar and caviar substitutes","","","10202","","","","","","",""
"","","10.20.3","","0","1","","1","","","Crustaceans, molluscs, seaweed and other aquatic invertebrates, frozen, prepared or preserved","","","10203","","","","","","",""
"","","10.20.4","","0","1","","1","","","Flours, meals and pellets, unfit for human consumption, and other products n.e.c. of fish or of crustaceans, molluscs or other aquatic invertebrates or seaweed","","","10204","","","","","","",""
"","","10.20.9","","0","1","","1","","","Smoking and other preservation and preparation services for manufacture of fish products; sub-contracted operations as part of manufacturing of processed and preserved fish, crustaceans and molluscs","","","10209","","","","","","",""
"","","10.3","","0","1","","1","","","Processed and preserved fruit and vegetables","","","103","","","","","","",""
"","","10.31","","0","1","","1","","","Processed and preserved potatoes","","","1031","","","","","","",""
"","","10.31.1","","0","1","","1","","","Processed and preserved potatoes","","","10311","","","","","","",""
"","","10.31.9","","0","1","","1","","","Cooking and other preparation services for potatoes and potato products; sub-contracted operations as part of manufacturing of processed and preserved potatoes","","","10319","","","","","","",""
"","","10.32","","0","1","","1","","","Fruit and vegetable juices","","This class excludes:
- fruit and vegetable juices to which more sugar has been added than it is needed to reproduce natural juice, see 11.07
- aerated fruit juices, lemonades and aerated water flavoured with fruit juices, see 11.07","1032","","","","","","",""
"","","10.32.1","","0","1","","1","","","Fruit and vegetable juices","","","10321","","","","","","",""
"","","10.32.9","","0","1","","1","","","Sub-contracted operations as part of manufacturing of fruit and vegetable juice","","","10329","","","","","","",""
"","","10.39","","0","1","","1","","","Other processed and preserved fruit and vegetables","","","1039","","","","","","",""
"","","10.39.1","","0","1","","1","","","Processed and preserved vegetables, excluding potatoes","","This category excludes:
- processed and preserved potatoes, see 10.31.1","10391","","","","","","",""
"","","10.39.2","","0","1","","1","","","Processed and preserved fruit and nuts","","","10392","","","","","","",""
"","","10.39.3","","0","1","","1","","","Vegetable materials and vegetable waste, vegetable residues and by-products","","","10393","","","","","","",""
"","39120","10.39.30","","0","1","","0","","Bran and other residues from the working of cereals or legumes; vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding n.e.c.","Vegetable materials and vegetable waste, vegetable residues and by-products","","","103930","","","Vegetable materials and vegetable waste, vegetable residues and by-products","Bran and other residues from the working of cereals or legumes; vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding n.e.c.","1","2",""
"","","10.39.9","","0","1","","1","","","Cooking and other preparation services for the preservation of fruit and vegetables; sub-contracted operations as part of manufacturing of other processed and preserved fruit and vegetables","","","10399","","","","","","",""
"","","10.4","","0","1","","1","","","Vegetable and animal oils and fats","","","104","","","","","","",""
"","","10.41","","0","1","","1","","","Oils and fats","","This class excludes:
- lard and other edible animal fats, see 10.11.50
- fats of poultry, see 10.12.30
- margarine and similar edible fats, see 10.42.10
- essential oils, see 20.53.10
- chemically modified animal or vegetable fats and oils, see 20.59.20","1041","","","","","","",""
"","","10.41.1","","0","1","","1","","","Animal oils and fats, their fractions, crude","","","10411","","","","","","",""
"","","10.41.2","","0","1","","1","","","Vegetable oils, crude","","","10412","","","","","","",""
"","","10.41.3","","0","1","","1","","","Cotton linters","","","10413","","","","","","",""
"","","10.41.4","","0","1","","1","","","Oil-cake and other solid residues, of vegetable fats or oils; flours and meals of oil seeds or oleaginous fruits","","","10414","","","","","","",""
"","","10.41.5","","0","1","","1","","","Refined oils, except residues","","This category excludes:
- oil-cake and other solid residues, of vegetable fats or oils, see 10.41.41","10415","","","","","","",""
"","","10.41.6","","0","1","","1","","","Animal or vegetable fats and oils and their fractions, hydrogenated, esterified, but not further prepared","","","10416","","","","","","",""
"","","10.41.7","","0","1","","1","","","Vegetable waxes (excluding triglycerides); degras; residues resulting from treatment of fatty substances or animal or vegetable waxes","","","10417","","","","","","",""
"","","10.41.9","","0","1","","1","","","Sub-contracted operations as part of manufacturing of oils and fats","","","10419","","","","","","",""
"","","10.42","","0","1","","1","","","Margarine and similar edible fats","","","1042","","","","","","",""
"","","10.42.1","","0","1","","1","","","Margarine and similar edible fats","","","10421","","","","","","",""
"","","10.42.9","","0","1","","1","","","Sub-contracted operations as part of manufacturing of margarine and similar edible fats","","","10429","","","","","","",""
"","","10.5","","0","1","","1","","","Dairy products","","","105","","","","","","",""
"","","10.51","","0","1","","1","","","Dairy and cheese products","","This class excludes:
- raw milk, see the appropriate grouping of group 01.4
- dairy products containing cereals, see 10.89.19
- dairy products received by the substitution of one or more milk components (e.g. butyric fat) by other substances (oleic fat), see 10.89.19","1051","","","","","","",""
"","","10.51.1","","0","1","","1","","","Processed liquid milk and cream","","","10511","","","","","","",""
"","","10.51.2","","0","1","","1","","","Milk and cream in solid forms","","","10512","","","","","","",""
"","","10.51.3","","0","1","","1","","","Butter and dairy spreads","","","10513","","","","","","",""
"","","10.51.4","","0","1","","1","","","Cheese and curd","","","10514","","","","","","",""
"","","10.51.5","","0","1","","1","","","Other dairy products","","","10515","","","","","","",""
"","","10.51.9","","0","1","","1","","","Sub-contracted operations as part of manufacturing of dairy and cheese products","","","10519","","","","","","",""
"","","10.52","","0","1","","1","","","Ice cream","","","1052","","","","","","",""
