CPA 2.1,Name,Include,Exclude,URI
01.24,Pome fruits and stone fruits,,,0124
01.24.1,Apples,,,01241
01.24.10,Apples,,,012410
01.24.2,Other pome fruits and stone fruits,,,01242
01.24.21,Pears,,,012421
01.24.22,Quinces,,,012422
01.24.23,Apricots,,,012423
01.24.24,Cherries,,,012424
01.24.25,Peaches,,,012425
01.24.26,Nectarines,,,012426
01.24.27,Plums,,,012427
01.24.28,Sloes,,,012428
01.24.29,Other pome fruits and stone fruits n.e.c.,,,012429
01.25,Other tree and bush fruits and nuts,,,0125
01.25.1,Berries and the fruits of the genus vaccinium,,,01251
01.25.11,Kiwi fruit,,,012511
01.25.12,Raspberries,,,012512
01.25.13,Strawberries,,,012513
01.25.19,"Other berries, the fruits of the genus vaccinium n.e.c.","This subcategory includes:
- cranberry, blueberry, lingonberry, bilberry, huckleberry
- currant and gooseberries",,012519
01.25.2,Fruit seeds,,,01252
01.25.20,Fruit seeds,,"This subcategory excludes:
- locust bean seed undecorticated, neither crushed nor ground, see 01.25.90",012520
01.25.3,"Nuts (excluding wild edible nuts, groundnuts and coconuts)",,"This category excludes:
- groundnuts, in shell, see 01.11.82
- coconuts, see 01.26.20
- wild growing edible products, see 02.30.40
- shelled nuts and groundnuts, see 10.39.25",01253
01.25.31,Almonds,,,012531
01.25.32,Chestnuts,,,012532
01.25.33,Hazelnuts,,,012533
01.25.34,Pistachios,,,012534
01.25.35,Walnuts,,,012535
01.25.39,"Other nuts (excluding wild edible nuts, groundnuts and coconuts)",,"This subcategory excludes:
- groundnuts, in shell, see 01.11.82
- coconuts, see 01.26.20
- wild growing edible products, see 02.30.40
- groundnuts, shelled, see 10.39.25",012539
01.25.9,Other tree and bush fruits n.e.c.,,,01259
01.25.90,Other tree and bush fruits n.e.c.,,,012590
01.26,Oleaginous fruits,,,0126
01.26.1,Olives,,,01261
01.26.11,Table olives,,,012611
01.26.12,Olives for production of olive oil,,,012612
01.26.2,Coconuts,,,01262
01.26.20,Coconuts,,,012620
01.26.9,Other oleaginous fruits,,,01269
01.26.90,Other oleaginous fruits,,,012690
01.27,Beverage crops,,,0127
01.27.1,Beverage crops,,,01271
01.27.11,"Coffee beans, not roasted",,,012711
01.27.12,Tea leaves,,,012712
01.27.13,Maté leaves,,,012713
01.27.14,Cocoa beans,,,012714
01.28,"Spices, aromatic, drug and pharmaceutical crops",,,0128
01.28.1,"Spices, not processed",,,01281
01.28.11,"Pepper (piper spp.), raw",,,012811
01.28.12,"Chillies and peppers, dry (capsicum spp.), raw",,"This subcategory excludes:
- unprocessed spices of the genus Pimenta, 
see 01.28.19",012812
01.28.13,"Nutmeg, mace and cardamoms, raw",,,012813
01.28.14,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,,012814
01.28.15,"Cinnamon (canella), raw",,,012815
01.28.16,"Cloves (whole stems), raw",,,012816
01.28.17,"Ginger, dry, raw",,,012817
01.28.18,"Vanilla, raw",,,012818
01.28.19,"Other spices, not processed",,"This subcategory excludes:
- roasted chicory and other roasted coffee substitutes, see 10.83.12",012819
01.28.2,Hop cones,,,01282
01.28.20,Hop cones,,,012820
01.28.3,"Plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes",,,01283
01.28.30,"Plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes",,,012830
01.29,Other perennial crops,,,0129
01.29.1,Natural rubber,,,01291
01.29.10,Natural rubber,,,012910
01.29.2,"Christmas trees, cut",,,01292
01.29.20,"Christmas trees, cut",,,012920
01.29.3,"Vegetable materials of a kind used primarily for plaiting or as stuffing or padding, or in dyeing or tanning",,,01293
01.29.30,"Vegetable materials of a kind used primarily for plaiting or as stuffing or padding, or in dyeing or tanning",,"This subcategory excludes:
- unprepared straw, whether or not chopped, ground, pressed or in the form of pellets, see 01.11.50",012930
01.3,"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn",,,013
01.30,"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn",,,0130
01.30.1,"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn",,,01301
01.30.10,"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn",,"This subcategory excludes:
- plants for seed production, see appropriate subcategories of groups 01.1 and 01.2
- 	cuttings of trees and forest shrubs, see 02.10.11
- 	forest nurseries services, see 02.10.20
- forest trees, see 02.10.30
- substrate for growing mushrooms without mycelium sown, see 20.15.80",013010
01.4,Live animals and animal products,,,014
01.41,"Dairy cattle, live and raw milk from dairy cattle",,,0141
01.41.1,"Dairy cattle, live",,,01411
01.41.10,"Dairy cattle, live",,,014110
01.41.2,Raw milk from dairy cattle,,,01412
01.41.20,Raw milk from dairy cattle,,,014120
01.42,"Other cattle and buffaloes, live and their semen",,,0142
01.42.1,"Other cattle and buffaloes, live",,,01421
01.42.11,"Other cattle and buffaloes, except calves, live","This subcategory includes:
-animals of subfamily Bovinae, domestic or wild, regardless of their use, n.e.c. and oxen (Ovibos moschatus)","This subcategory excludes:
- calves of cattle and buffalo, live, see 01.42.12",014211
01.42.12,"Calves of cattle and buffalo, live",,,014212
01.42.2,Cattle and buffalo semen,,,01422
01.42.20,Cattle and buffalo semen,,,014220
01.43,"Horses and other equines, live",,,0143
01.43.1,"Horses and other equines, live",,,01431
01.43.11,"Horses, live",,"This subcategory excludes:
- 	hybrids of the mare and a zebra, see 01.49.19",014311
01.43.12,"Asses, mules and hinnies, live",,,014312
01.44,"Camels and camelids, live",,,0144
01.44.1,"Camels and camelids, live",,,01441
01.44.10,"Camels and camelids, live","This subcategory includes:
- dromaderies, llamas, alpacas, guanacos, vicunas and other camelids",,014410
01.45,"Sheep and goats, live; raw milk and shorn wool from sheep and goats",,,0145
01.45.1,"Sheep and goats, live",,,01451
01.45.11,"Sheep, live",,,014511
01.45.12,"Goats, live",,"This subcategory excludes:
- chamois, rupicapra (Rupicapra rupicapra), goat-antelopes (Caprinae), see 01.49.19",014512
01.45.2,Raw milk from sheep and goats,,,01452
01.45.21,Raw milk from sheep,,,014521
01.45.22,Raw milk from goats,,,014522
01.45.3,"Shorn wool from sheep and goats, greasy, including fleece-washed shorn wool",,,01453
01.45.30,"Shorn wool from sheep and goats, greasy, including fleece-washed shorn wool",,"This subcategory excludes:
- pulled wool, greasy, including fleece-washed pulled wool, see 10.11.41",014530
01.46,"Swine, live",,,0146
01.46.1,"Swine, live",,,01461
01.46.10,"Swine, live",,,014610
01.47,"Poultry, live and eggs",,"This class excludes:
- feather and down, see 10.12.50",0147
01.47.1,"Poultry, live",,,01471
01.47.11,"Chickens, live",,,014711
01.47.12,"Turkeys, live",,"This subcategory excludes:
- wild turkeys, see 01.49.12",014712
01.47.13,"Geese, live",,"This subcategory excludes:
- wild geese, see 01.49.12",014713
01.47.14,"Ducks and guinea fowls, live",,"This subcategory excludes:
- wild ducks, see 01.49.12",014714
01.47.2,"Eggs in shell, fresh",,,01472
01.47.21,"Hen eggs in shell, fresh",,,014721
01.47.22,"Eggs from other poultry, in shell, fresh",,,014722
01.47.23,Hen eggs for hatching,,,014723
01.47.24,"Eggs from other poultry, for hatching",,,014724
01.49,Other farmed animals and animal products,,,0149
01.49.1,"Other farmed animals, live",,,01491
01.49.11,"Domestic rabbits, live",,,014911
01.49.12,"Farmed birds n.e.c., live",,,014912
01.49.13,"Farmed reptiles (including snakes and turtles), live",,"This subcategory excludes:
- aquatic reptiles (saltwater or freshwater), see 03.00.69",014913
01.49.19,"Other farmed animals n.e.c., live","This subcategory includes: 
- reindeer
- fur animals (except domestic rabbits),
- bees and other insects,
- hybrids of the mare and a zebra
- cats, dogs and other pet animals
- diverse farmed animals n.e.c.","This subcategory excludes:
- frogs, crocodiles and aquatic insects (saltwater or freshwater), see 03.00.69",014919
01.49.2,Other farm animal products,,,01492
01.49.21,Natural honey,,"This subcategory excludes:
- artificial honey, see 10.89.19
- mixtures of natural and artificial honey, see 10.89.19",014921
01.49.22,Raw milk n.e.c.,,"This subcategory excludes:
- raw milk of bovine and buffalo animals, see 01.41.20",014922
01.49.23,"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",,"This subcategory excludes:
- sea snails, see 03.00.42, 03.00.44",014923
01.49.24,Edible products of farm animal origin n.e.c.,,,014924
01.49.25,Silk-worm cocoons suitable for reeling,,,014925
01.49.26,"Insect waxes and spermaceti, whether or not refined or coloured",,,014926
01.49.27,Animal embryos for reproduction,,"This subcategory excludes:
- semen of stallions, see 01.43.11
- ram semen, see 01.45.11
- semen of goats, see 01.45.12
- semen of boars, see 01.46.10",014927
01.49.28,Non-edible products of farm animal origin n.e.c.,"This subcategory includes:
- fine or coarse animal hair, not carded or combed",,014928
01.49.3,Raw fur skins and miscellaneous raw hides and skins,,,01493
01.49.31,"Raw fur skins, except of fur-bearing lambs",,"This subcategory excludes:
- raw fur skins of fur-bearing lambs. See 01.49.32",014931
01.49.32,Raw fur skins of fur-bearing lambs,,,014932
01.49.39,"Raw skins of animals n.e.c. (fresh or preserved, but not further prepared)",,,014939
01.6,Agricultural and animal husbandry services (except veterinary services),,"This group excludes:
- veterinary services, see 75.00.1",016
01.61,Support services to crop production,,,0161
01.61.1,Support services to crop production,,,01611
01.61.10,Support services to crop production,"This subcategory includes:
- preparation of fields
- planting, cultivation and fertilisation of crops
- crop spraying, including from the air
- pest control for agriculture
- trimming of fruit trees and vines
- transplanting and thinning of crops
- harvesting
- provision of agricultural machinery with crew and operators
- maintenance of agricultural land in good agricultural and ecological condition
- operation of irrigation systems for agricultural purposes","This subcategory excludes:
- water distribution services through mains, operation services of irrigation canals, see 36.00.20
- landscape architects services, see 71.11.4
- services provided by agronomists and agricultural economists, see 74.90.19
- other pest control services, see 81.29.11
- landscape services not related to agriculture, see 81.30.11 and 81.30.12
- organisation of agricultural shows and fairs, see 82.30.12",016110
01.62,Support services to animal production,,,0162
01.62.1,Support services to animal production,,,01621
01.62.10,Support services to animal production,"This subcategory includes:
- services promoting propagation, growth and output of animals
- herd testing services, droving services, agistment services, poultry caponising services, grading of eggs etc.
- sheep shearing services
- farm animals boarding and care services
- cleaning of agricultural premises (hen houses, piggeries etc.)
- stud services
- services related to artificial insemination","This subcategory excludes:
- provision of space for animal boarding only, see 68.20.12
- services provided by agronomists and agricultural economists, see 74.90.19
- vaccination of animals and other veterinary services, see 75.00.1
- recreational riding services, see 93.11.10
- pet animals boarding and care, see 96.09.11",016210
01.63,Post-harvest crop services,,,0163
01.63.1,Post-harvest crop services,,,01631
01.63.10,Post-harvest crop services,"This subcategory includes: 
- preparation services for primary markets, i.e. cleaning, trimming, grading, disinfecting, drying, shelling
- cotton ginning
- preparation services for tobacco leaves, e.g. drying
- preparation services for cocoa beans, e.g. peeling
- waxing of fruit","This subcategory excludes:
- preparation services of agricultural products by the producer, see corresponding class in groups 01.1, 01.2 or 01.3
- stemming and redrying services for tobacco, see 12.00.1
- marketing services of commission merchants and cooperative associations, see division 46
- wholesale services of agricultural raw materials, see 46.2",016310
01.64,Seed processing services for propagation,,,0164
01.64.1,Seed processing services for propagation,,,01641
01.64.10,Seed processing services for propagation,"This subcategory includes: 
- services to improve the propagation quality of the seed, including treatment of genetically modified seeds:
  • removal of non-seed materials, undersized, mechanically or insect-damaged and immature seeds
  • removal of seed moisture to a safe level for seed storage
  • drying, cleaning, grading and treating of seeds until they are marketed","This subcategory excludes:
- seeds, see groups 01.1 and 01.2
- processing services for seeds to obtain oil, see 10.41
- research services to develop or modify new forms of seeds, see 72.11.31, 72.11.32 and 72.11.33",016410
01.7,Hunting and trapping and related services,,,017
01.70,Hunting and trapping and related services,,,0170
01.70.1,Hunting and trapping and related services,,,01701
01.70.10,Hunting and trapping and related services,"This subcategory includes:
- hunting and trapping on a commercial basis
- taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets
- production of fur skins, reptile or bird skins from hunting or trapping activities","This subcategory excludes:
- production of fur skins, reptile or bird skins from ranching operations, see group 01.4
- raising of game animals on ranching operations, see 01.49.1
- catching of whales, see 03.00.69
- production of hides and skins originating from slaughterhouses, see 10.11
- hunting for sport or recreation and related service activities, see 93.19.13
- service activities to promote hunting and trapping, see 94.99.19",017010
02,"Products of forestry, logging and related services",,"This division excludes:
- 	sawing and planing of wood, see appropriate group of division 16",02
02.1,Forest trees and nursery services,,,021
02.10,Forest trees and nursery services,,,0210
02.10.1,Live forest tree plants; forest tree seeds,,,02101
02.10.11,Live forest tree plants,,,021011
02.10.12,Forest tree seeds,,,021012
02.10.2,Forest trees nurseries services,,,02102
02.10.20,Forest trees nurseries services,,"This subcategory excludes:
- Christmas tree nursery services, see 01.30.10",021020
02.10.3,Forest trees,,,02103
02.10.30,Forest trees,,"This subcategory excludes:
- Christmas trees, cut, see 01.29.20",021030
02.2,Wood in the rough,,"This group excludes:
- 	wood in chips or particles, see 16.10.25
- 	wood in the rough in the form of crushed piles and sticks, see 16.10.39",022
02.20,Wood in the rough,,,0220
02.20.1,Wood in the rough,,,02201
02.20.11,Logs of coniferous wood,,,022011
02.20.12,"Logs of non-coniferous wood, except tropical wood",,"This subcategory excludes:
- logs of tropical wood, see 02.20.13",022012
02.20.13,Logs of tropical wood,,,022013
02.20.14,Fuel wood of coniferous wood,,,022014
02.20.15,Fuel wood of non-coniferous wood,,,022015
02.3,Wild growing non-wood products,,,023
02.30,Wild growing non-wood products,,,0230
02.30.1,Natural gums,,,02301
02.30.11,"Balata, gutta-percha, guayula, chicle and similar natural gums",,,023011
02.30.12,"Lac, balsams and other natural gums and resins",,,023012
02.30.2,"Natural cork, raw or simply prepared",,,02302
02.30.20,"Natural cork, raw or simply prepared",,,023020
02.30.3,"Parts of plants, grasses, mosses and lichens suitable for ornamental purposes",,,02303
02.30.30,"Parts of plants, grasses, mosses and lichens suitable for ornamental purposes",,,023030
02.30.4,Wild growing edible products,,,02304
02.30.40,Wild growing edible products,,,023040
02.4,Support services to forestry,,,024
02.40,Support services to forestry,,,0240
02.40.1,Support services to forestry,,,02401
02.40.10,Support services to forestry,"This subcategory includes:
- forestry services:
  • forestry inventories
  • forest management consulting services
  • timber evaluation
  • forest fire fighting and protection
  • forest pest control
- logging services:
  • transport of logs within the forest
- provision of forestry machinery with crew and operators","This subcategory excludes:
- operation of forest tree nurseries, see 02.10.20
- draining of forestry land, see 43.12.11
- clearing of building sites, see 43.12.11
- transport of timber outside the forest, see 49.41.19
- disinfection and pest extermination services, see 81.29.11",024010
03,Fish and other fishing products; aquaculture products; support services to fishing,,"This division excludes:
- services auxiliary to sport and recreational fishing, see 93.19.13",03
03.0,Fish and other fishing products; aquaculture products; support services to fishing,,,030
03.00,Fish and other fishing products; aquaculture products; support services to fishing,,,0300
03.00.1,"Fish, live, not for human consumption",,,03001
03.00.11,"Ornamental fish, wild",,,030011
03.00.12,"Ornamental fish, farmed",,,030012
03.00.13,"Other wild, live fish, not for human consumption, including seeds and feeds for aquaculture",,,030013
03.00.14,"Other farmed, live fish, not for human consumption, including seeds and feeds for aquaculture",,,030014
03.00.2,"Fish live, fresh or chilled, for human consumption",,,03002
03.00.21,"Fish, live, fresh or chilled, for human consumption, marine, not farmed",,,030021
03.00.22,"Fish, live, fresh or chilled, for human consumption, freshwater, not farmed",,,030022
03.00.23,"Fish, live, fresh or chilled, for human consumption, marine, farmed",,,030023
03.00.24,"Fish, live, fresh or chilled, for human consumption, freshwater, farmed",,,030024
03.00.3,"Crustaceans, not frozen",,,03003
03.00.31,"Crustaceans, not frozen, not farmed",,,030031
03.00.32,"Crustaceans, not frozen, farmed",,,030032
03.00.4,"Molluscs and other aquatic invertebrates, live, fresh or chilled",,,03004
03.00.41,"Oysters, live, fresh or chilled, not farmed",,,030041
03.00.42,"Other molluscs, live, fresh or chilled, not farmed",,,030042
03.00.43,"Oysters, live, fresh or chilled, farmed",,,030043
03.00.44,"Other molluscs, live, fresh or chilled, farmed",,,030044
03.00.45,"Other aquatic invertebrates, live, fresh or chilled, farmed",,,030045
03.00.46,"Other aquatic invertebrates, live, fresh or chilled, not farmed",,,030046
03.00.5,"Pearls, unworked",,,03005
03.00.51,"Natural pearls, unworked",,,030051
03.00.52,"Cultured pearls, unworked",,,030052
03.00.6,"Other aquatic plants, animals and their products",,,03006
03.00.61,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone",,,030061
03.00.62,Natural sponges of animal origin,,,030062
03.00.63,"Seaweeds and other algae for human consumption, wild",,,030063
03.00.64,"Seaweeds and other algae for human consumption, farmed",,,030064
03.00.65,"Seaweeds and other algae not for human consumption, wild",,,030065
03.00.66,"Seaweeds and other algae not for human consumption, farmed",,,030066
03.00.69,"Other aquatic plants, animals and their products n.e.c.","This subcategory includes:
- farmed frogs
- whales",,030069
03.00.7,Support services to fishing and aquaculture,,,03007
03.00.71,Support services to fishing,,,030071
03.00.72,Support services to aquaculture,,,030072
05,Coal and lignite,,"This division excludes:
- 	test drillings services for coal and services connected with coal extraction, see 09.90.11
- coke oven products, see 19.10
- coal briquettes, see 19.20.1
- site preparation for the extraction of coal, see 43.12.11",05
05.1,Hard coal,,,051
05.10,Hard coal,,,0510
05.10.1,Hard coal,,,05101
05.10.10,Hard coal,,"This subcategory excludes:
- briquettes, ovoids and similar solid fuels manufactured from coal, see 19.20.11",051010
05.2,Lignite,,,052
05.20,Lignite,,,0520
05.20.1,Lignite,,,05201
05.20.10,Lignite,,"This subcategory excludes:
- briquettes, ovoids and similar solid fuels manufactured from lignite, see 19.20.12",052010
06,Crude petroleum and natural gas,,"This division excludes:
- 	probing, test drillings and exploration works in connection with petroleum and gas extraction, see 09.10.1
- services related to operation of oil and gas fields, on a fee or contract basis, see 09.10.1
- 	refined petroleum products, see 19.20
- transport via pipeline of crude or refined petroleum and petroleum products, see 49.50.11
- transport via pipeline of natural gas, see 49.50.12
- 	geophysical surveys and cartographic activities, see 71.12.3",06
06.1,Crude petroleum,,,061
06.10,Crude petroleum,,,0610
06.10.1,"Petroleum oils and oils obtained from bituminous minerals, crude",,,06101
06.10.10,"Petroleum oils and oils obtained from bituminous minerals, crude",,,061010
06.10.2,Bituminous or oil shale and tar sands,,,06102
06.10.20,Bituminous or oil shale and tar sands,,,061020
06.2,"Natural gas, liquefied or in gaseous state",,,062
06.20,"Natural gas, liquefied or in gaseous state",,,0620
06.20.1,"Natural gas, liquefied or in gaseous state",,,06201
06.20.10,"Natural gas, liquefied or in gaseous state",,,062010
07,Metal ores,,"This division excludes:
- roasted iron pyrites, see 20.13.67
- aluminium hydroxide, see 20.13.25 
- aluminium oxide, see 24.42.12",07
07.1,Iron ores,,,071
07.10,Iron ores,,,0710
07.10.1,Iron ores,,,07101
07.10.10,Iron ores,,,071010
07.2,Non-ferrous metal ores,,,072
07.21,Uranium and thorium ores,,,0721
07.21.1,Uranium and thorium ores,,,07211
07.21.10,Uranium and thorium ores,,,072110
07.29,Other non-ferrous metal ores and concentrates,,,0729
07.29.1,Other non-ferrous metal ores and concentrates,,,07291
07.29.11,Copper ores and concentrates,,,072911
07.29.12,Nickel ores and concentrates,,,072912
07.29.13,Aluminium ores and concentrates,,,072913
07.29.14,Precious metal ores and concentrates,,,072914
07.29.15,"Lead, zinc and tin ores and concentrates",,,072915
07.29.19,Other non-ferrous metal ores and concentrates n.e.c.,,,072919
08,Other mining and quarrying products,,"This division excludes:
- processing of extracted raw materials (excl. crushing, grinding, cutting, cleaning, drying, sorting and mixing), see appropriate parts of section C",08
08.1,"Stone, sand and clay",,,081
08.11,"Ornamental and building stone, limestone, gypsum, chalk and slate",,,0811
08.11.1,Ornamental or building stone,,,08111
08.11.11,Marble and other calcareous ornamental or building stone,,,081111
08.11.12,"Granite, sandstone and other ornamental or building stone",,,081112
08.11.2,Limestone and gypsum,,,08112
