NAICS 2017,NACE Rev. 2,NACE Rev. 2,US NAICS 2017,Notes
112111,01.42,Raising of other cattle and buffaloes,Beef Cattle Ranching and Farming,
112112,01.42,Raising of other cattle and buffaloes,Cattle Feedlots,
112130,01.42,Raising of other cattle and buffaloes,Dual-Purpose Cattle Ranching and Farming,
112920,01.43,Raising of horses and other equines,Horse and Other Equine Production,
112990,01.44,Raising of camels and camelids,All Other Animal Production,
112410,01.45,Raising of sheep and goats,Sheep Farming,
112420,01.45,Raising of sheep and goats,Goat Farming,
112210,01.46,Raising of swine/pigs,Hog and Pig Farming,
112310,01.47,Raising of poultry,Chicken Egg Production,
112320,01.47,Raising of poultry,Broilers and Other Meat Type Chicken Production,
112330,01.47,Raising of poultry,Turkey Production,
112340,01.47,Raising of poultry,Poultry Hatcheries,
112390,01.47,Raising of poultry,Other Poultry Production,"Except emus, ostriches"
112390,01.49,Raising of other animals,Other Poultry Production,"Emus, ostriches"
112910,01.49,Raising of other animals,Apiculture,
112930,01.49,Raising of other animals,Fur-Bearing Animal and Rabbit Production,
112990,01.49,Raising of other animals,All Other Animal Production,"Other animal farms including cats, crickets and other insects, dogs, pet birds"
111998,01.50,Mixed farming,All Other Miscellaneous Crop Farming,"Combinations of crops, livestock, and animal specialties (primarily but less than 66% crops)"
112990,01.50,Mixed farming,All Other Animal Production,"Combinations of crops, livestock, and animal specialties (primarily but less than 66% livestock)"
115112,01.61,Support activities for crop production,"Soil Preparation, Planting, and Cultivating",
115113,01.61,Support activities for crop production,"Crop Harvesting, Primarily by Machine",
115115,01.61,Support activities for crop production,Farm Labor Contractors and Crew Leaders,
115116,01.61,Support activities for crop production,Farm Management Services,Crop farm management services - running a farm on a contract or fee basis
115116,01.62,Support activities for animal production,Farm Management Services,Animal farm management services - running a farm on a contract or fee basis
115210,01.62,Support activities for animal production,Support Activities for Animal Production,Except vaccinating livestock not performed by veterinarians
115111,01.63,Post-harvest crop activities,Cotton Ginning,
115114,01.63,Post-harvest crop activities,Post Harvest Crop Activities (except Cotton Ginning),Except seed processing
115114,01.64,Seed processing for propagation,Post Harvest Crop Activities (except Cotton Ginning),Seed processing
114210,01.70,"Hunting, trapping and related service activities",Hunting and Trapping,
113110,02.10,Silviculture and other forestry activities,Timber Tract Operations,Operating timber tracts
113210,02.10,Silviculture and other forestry activities,Forest Nurseries and Gathering of Forest Products,Except gathering forest products in the wild
113310,02.20,Logging,Logging,Except separate log hauling in the forest and production of wood chips in the forest
111998,02.30,Gathering of wild growing non-wood products,All Other Miscellaneous Crop Farming,Gathering maple sap in the wild
113210,02.30,Gathering of wild growing non-wood products,Forest Nurseries and Gathering of Forest Products,Gathering forest products in the wild
113310,02.40,Support services to forestry,Logging,Separate log hauling in the forest without logging
115310,02.40,Support services to forestry,Support Activities for Forestry,
114111,03.11,Marine fishing,Finfish Fishing,Marine finfish fishing
114112,03.11,Marine fishing,Shellfish Fishing,Marine shellfish fishing
114119,03.11,Marine fishing,Other Marine Fishing,"Salt water seaweed gathering, sponge gathering, and catching turtles and frogs in the wild"
311710,03.11,Marine fishing,Fresh and Frozen Seafood Processing,"Gathering and processing of seafood into fresh, frozen, or canned seafood in factory ships (i.e. factory ships that also fish)"
114111,03.12,Freshwater fishing,Finfish Fishing,Freshwater finfish fishing
114112,03.12,Freshwater fishing,Shellfish Fishing,Freshwater shellfish fishing
114119,03.12,Freshwater fishing,Other Marine Fishing,"Fresh water seaweed gathering, sponge gathering, and catching turtles and frogs in the wild"
112511,03.21,Marine aquaculture,Finfish Farming and Fish Hatcheries,Saltwater finfish farming and hatcheries
112512,03.21,Marine aquaculture,Shellfish Farming,Saltwater shellfish farming including production of cultured pearls
112519,03.21,Marine aquaculture,Other Aquaculture,"Saltwater alligator, frog, algae, seaweed, turtle, worm, snake, and other animal aquaculture n.e.c."
111419,03.22,Freshwater aquaculture,Other Food Crops Grown Under Cover,Seaweed grown under cover
112511,03.22,Freshwater aquaculture,Finfish Farming and Fish Hatcheries,Fresh water finfish farming and hatcheries
112512,03.22,Freshwater aquaculture,Shellfish Farming,Fresh water shellfish farming
112519,03.22,Freshwater aquaculture,Other Aquaculture,"Freshwater alligator, frog, algae, seaweed, turtle, worn, snake and other animal aquaculture n.e.c."
212113,05.10,Mining of hard coal,Anthracite Mining,
212111,05.20,Mining of lignite,Bituminous Coal and Lignite Surface Mining,
212112,05.20,Mining of lignite,Bituminous Coal Underground Mining,
211120,06.10,Extraction of crude petroleum,Crude Petroleum Extraction,New code introduced in NAICS 2017
211130,06.20,Extraction of natural gas,Natural Gas Extraction,New code introduced in NAICS 2017
212210,07.10,Mining of iron ores,Iron Ore Mining,
212291,07.21,Mining of uranium and thorium ores,Uranium-Radium-Vanadium Ore Mining,Uranium and radium mining and/or beneficiating
212299,07.21,Mining of uranium and thorium ores,All Other Metal Ore Mining,Thorium mining and/or beneficiating
212221,07.29,Mining of other non-ferrous metal ores,Gold Ore Mining,
212222,07.29,Mining of other non-ferrous metal ores,Silver Ore Mining,
212230,07.29,Mining of other non-ferrous metal ores,"Copper, Nickel, Lead, and Zinc Mining",New code introduced in NAICS 2017
212291,07.29,Mining of other non-ferrous metal ores,Uranium-Radium-Vanadium Ore Mining,Vanadium mining and/or beneficiating
212299,07.29,Mining of other non-ferrous metal ores,All Other Metal Ore Mining,Except thorium mining and/or beneficiating
212311,08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",Dimension Stone Mining and Quarrying,
212312,08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",Crushed and Broken Limestone Mining and Quarrying,Except quarrying or mining marl
212313,08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",Crushed and Broken Granite Mining and Quarrying,
212319,08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",Other Crushed and Broken Stone Mining and Quarrying,
212399,08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",All Other Nonmetallic Mineral Mining,"Other crushed stone including anhydrite, pulpstone, millstone, grindstone, gypsum, alabaster and pulpstone"
212321,08.12,Operation of gravel and sand pits; mining of clays and kaolin,Construction Sand and Gravel Mining,
212322,08.12,Operation of gravel and sand pits; mining of clays and kaolin,Industrial Sand Mining,
212324,08.12,Operation of gravel and sand pits; mining of clays and kaolin,Kaolin and Ball Clay Mining,
212325,08.12,Operation of gravel and sand pits; mining of clays and kaolin,Clay and Ceramic and Refractory Minerals Mining,Except non-clay ceramic and refractory minerals
212312,08.91,Mining of chemical and fertiliser minerals,Crushed and Broken Limestone Mining and Quarrying,Quarrying or mining marl
212391,08.91,Mining of chemical and fertiliser minerals,"Potash, Soda, and Borate Mineral Mining",
212392,08.91,Mining of chemical and fertiliser minerals,Phosphate Rock Mining,
212393,08.91,Mining of chemical and fertiliser minerals,Other Chemical and Fertilizer Mineral Mining,Except salt extraction or evaporation of brine to obtain salt
212399,08.92,Extraction of peat,All Other Nonmetallic Mineral Mining,"Peat mining, digging or beneficiating in combination with mining"
212393,08.93,Extraction of salt,Other Chemical and Fertilizer Mineral Mining,Salt extraction or evaporation of brine to obtain salt
311942,08.93,Extraction of salt,Spice and Extract Manufacturing,Mining and processing of table salt
212325,08.99,Other mining and quarrying n.e.c.,Clay and Ceramic and Refractory Minerals Mining,"Ceramic and refractory minerals except clays and bentonite (for example fullers earth, feldspar, and magnesite)"
212399,08.99,Other mining and quarrying n.e.c.,All Other Nonmetallic Mineral Mining,"Quarrying or mining abrasives, bitumins, natural asphalt, gem stones, mica, graphite, and other nonmetallic minerals n.e.c.."
213111,09.10,Support activities for petroleum and natural gas extraction,Drilling Oil and Gas Wells,
213112,09.10,Support activities for petroleum and natural gas extraction,Support Activities for Oil and Gas Operations,
488999,09.10,Support activities for petroleum and natural gas extraction,All Other Support Activities for Transportation,Liquefaction of natural gas at the mine site
213113,09.90,Support activities for other mining and quarrying,Support Activities for Coal Mining,Except overburden removal for coal mining
213114,09.90,Support activities for other mining and quarrying,Support Activities for Metal Mining,Except overburden removal for metal mining
213115,09.90,Support activities for other mining and quarrying,Support Activities for Nonmetallic Minerals (except Fuels) Mining,Except overburden removal for nonmetallic mineral mining
311611,10.11,Processing and preserving of meat,Animal (except Poultry) Slaughtering,Animal slaughtering
311613,10.11,Processing and preserving of meat,Rendering and Meat Byproduct Processing,
311710,10.11,Processing and preserving of meat,Fresh and Frozen Seafood Processing,Whale slaughtering
311615,10.12,Processing and preserving of poultry meat,Poultry Processing,
311412,10.13,Production of meat and poultry meat products,Frozen Specialty Food Manufacturing,Frozen meat entrees - prepared
311612,10.13,Production of meat and poultry meat products,Meat Processed From Carcasses,Except meat extracts made from purchased carcasses
311615,10.13,Production of meat and poultry meat products,Poultry Processing,
311710,10.20,"Processing and preserving of fish, crustaceans and molluscs",Fresh and Frozen Seafood Processing,"Except soups, chowders, stews, broth, fish oils, whale slaughtering, or the combined gathering and processing of seafood"
311211,10.31,Processing and preserving of potatoes,Flour Milling,Potato flour
311411,10.31,Processing and preserving of potatoes,"Frozen Fruit, Juice, and Vegetable Manufacturing",
311421,10.31,Processing and preserving of potatoes,Fruit and Vegetable Canning,
311423,10.31,Processing and preserving of potatoes,Dried and Dehydrated Food Manufacturing,Except soup mixes
311919,10.31,Processing and preserving of potatoes,Other Snack Food Manufacturing,Potato chips and potato snacks
311991,10.31,Processing and preserving of potatoes,Perishable Prepared Food Manufacturing,Fresh cut or peeled potatoes
311411,10.32,Manufacture of fruit and vegetable juice,"Frozen Fruit, Juice, and Vegetable Manufacturing",
311421,10.32,Manufacture of fruit and vegetable juice,Fruit and Vegetable Canning,
311423,10.32,Manufacture of fruit and vegetable juice,Dried and Dehydrated Food Manufacturing,Except soup mixes
311930,10.32,Manufacture of fruit and vegetable juice,Flavoring Syrup and Concentrate Manufacturing,Fruit juice based flavoring syrups and concentrates
311942,10.32,Manufacture of fruit and vegetable juice,Spice and Extract Manufacturing,Fruit and fruit juice extracts
311411,10.39,Other processing and preserving of fruit and vegetables,"Frozen Fruit, Juice, and Vegetable Manufacturing",
311421,10.39,Other processing and preserving of fruit and vegetables,Fruit and Vegetable Canning,Except catsup and similar tomato sauces
311423,10.39,Other processing and preserving of fruit and vegetables,Dried and Dehydrated Food Manufacturing,Except soup mixes
311911,10.39,Other processing and preserving of fruit and vegetables,Roasted Nuts and Peanut Butter Manufacturing,
311991,10.39,Other processing and preserving of fruit and vegetables,Perishable Prepared Food Manufacturing,"Cole slaw, tofu"
311999,10.39,Other processing and preserving of fruit and vegetables,All Other Miscellaneous Food Manufacturing,Fresh cut or peeled fruits and vegetables
311221,10.41,Manufacture of oils and fats,Wet Corn Milling,Vegetable oils (except corn) and other edible and inedible oils produced by wet milling
311224,10.41,Manufacture of oils and fats,Soybean and Other Oilseed Processing,
311225,10.41,Manufacture of oils and fats,Fats and Oils Refining and Blending,Except corn oil made from purchased oil
311710,10.41,Manufacture of oils and fats,Fresh and Frozen Seafood Processing,Frozen or canned fish oils
311221,10.42,Manufacture of margarine and similar edible fats,Wet Corn Milling,Margarine
311511,10.51,Operation of dairies and cheese making,Fluid Milk Manufacturing,
311512,10.51,Operation of dairies and cheese making,Creamery Butter Manufacturing,
311513,10.51,Operation of dairies and cheese making,Cheese Manufacturing,Except imitation or substitute cheese products
311514,10.51,Operation of dairies and cheese making,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Except infant formula and dietary drinks (dairy and nondairy)
311520,10.51,Operation of dairies and cheese making,Ice Cream and Frozen Dessert Manufacturing,Frozen yoghurt
311520,10.52,Manufacture of ice cream,Ice Cream and Frozen Dessert Manufacturing,Except frozen yoghurt
311211,10.61,Manufacture of grain mill products,Flour Milling,Except potato flour
311212,10.61,Manufacture of grain mill products,Rice Milling,
311230,10.61,Manufacture of grain mill products,Breakfast Cereal Manufacturing,
311824,10.61,Manufacture of grain mill products,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",
311221,10.62,Manufacture of starches and starch products,Wet Corn Milling,Wet corn milling and starches and starch products
311225,10.62,Manufacture of starches and starch products,Fats and Oils Refining and Blending,Corn oil made from purchased oil
311412,10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes,Frozen Specialty Food Manufacturing,"Frozen French toast, waffles, and pancakes"
311811,10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes,Retail Bakeries,
311812,10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes,Commercial Bakeries,
311813,10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes,"Frozen Cakes, Pies, and Other Pastries Manufacturing",
311830,10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes,Tortilla Manufacturing,
311821,10.72,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Cookie and Cracker Manufacturing,
311919,10.72,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Other Snack Food Manufacturing,Except potato chips and potato snacks
311412,10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",Frozen Specialty Food Manufacturing,Frozen pasta (plain)
311422,10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",Specialty Canning,Canned pasta (plain)
311824,10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products","Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",Manufacture of plain dry pasta
311991,10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",Perishable Prepared Food Manufacturing,Fresh pasta
111998,10.81,Manufacture of sugar,All Other Miscellaneous Crop Farming,Maple sugars and syrups produced in a separate central facility
311313,10.81,Manufacture of sugar,Beet Sugar Manufacturing,
311314,10.81,Manufacture of sugar,Cane Sugar Manufacturing,
311340,10.82,"Manufacture of cocoa, chocolate and sugar confectionery",Nonchocolate Confectionery Manufacturing,
311351,10.82,"Manufacture of cocoa, chocolate and sugar confectionery",Chocolate and Confectionery Manufacturing from Cacao Beans,
311352,10.82,"Manufacture of cocoa, chocolate and sugar confectionery",Confectionery Manufacturing from Purchased Chocolate,
311920,10.83,Processing of tea and coffee,Coffee and Tea Manufacturing,
311421,10.84,Manufacture of condiments and seasonings,Fruit and Vegetable Canning,Catsup and similar tomato sauces
311941,10.84,Manufacture of condiments and seasonings,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",
311942,10.84,Manufacture of condiments and seasonings,Spice and Extract Manufacturing,"Except the combined mining and processing of table salt, fruit and fruit juice extracts"
311412,10.85,Manufacture of prepared meals and dishes,Frozen Specialty Food Manufacturing,"Except frozen meat entrees, frozen French toast and waffles, frozen soup, and frozen nondairy whipped toppings"
311422,10.85,Manufacture of prepared meals and dishes,Specialty Canning,"Except canned pasta, canned soups, and canned baby foods"
311710,10.85,Manufacture of prepared meals and dishes,Fresh and Frozen Seafood Processing,"Seafood dinners and stews - canned, or prepared and packaged"
311824,10.85,Manufacture of prepared meals and dishes,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",Manufacture of dried pasta mixed with other ingredients to make a dish when the pasta is made in the same establishment
311999,10.85,Manufacture of prepared meals and dishes,All Other Miscellaneous Food Manufacturing,Fried noodles and dried pasta dish mixes made entirely of purchased dried ingredients
311422,10.86,Manufacture of homogenised food preparations and dietetic food,Specialty Canning,Canned baby foods
311514,10.86,Manufacture of homogenised food preparations and dietetic food,"Dry, Condensed, and Evaporated Dairy Product Manufacturing","Infant formula, dietary drinks (dairy and nondairy)"
311412,10.89,Manufacture of other food products n.e.c.,Frozen Specialty Food Manufacturing,"Frozen soup, frozen nondairy whipped topping"
311422,10.89,Manufacture of other food products n.e.c.,Specialty Canning,Canned soups
311423,10.89,Manufacture of other food products n.e.c.,Dried and Dehydrated Food Manufacturing,Soup mixes
311513,10.89,Manufacture of other food products n.e.c.,Cheese Manufacturing,Imitation or substitute cheese products
311612,10.89,Manufacture of other food products n.e.c.,Meat Processed From Carcasses,Meat extracts made from purchased carcasses
311710,10.89,Manufacture of other food products n.e.c.,Fresh and Frozen Seafood Processing,"Soups, chowders, and broth"
311930,10.89,Manufacture of other food products n.e.c.,Flavoring Syrup and Concentrate Manufacturing,Except fruit juice based flavoring syrups and concentrates
311991,10.89,Manufacture of other food products n.e.c.,Perishable Prepared Food Manufacturing,"Except cole slaw, fresh cut or peeled potatoes, tofu, and fresh pasta"
311999,10.89,Manufacture of other food products n.e.c.,All Other Miscellaneous Food Manufacturing,"Except fresh cut or peeled fruits and vegetables, fried noodles, and dried pasta dish mixes made entirely from purchased dried ingredients"
311119,10.91,Manufacture of prepared feeds for farm animals,Other Animal Food Manufacturing,
311111,10.92,Manufacture of prepared pet foods,Dog and Cat Food Manufacturing,
311119,10.92,Manufacture of prepared pet foods,Other Animal Food Manufacturing,Except dog and cat food manufacturing
312130,11.01,"Distilling, rectifying and blending of spirits",Wineries,Brandies and fruit spirits
312140,11.01,"Distilling, rectifying and blending of spirits",Distilleries,Except potable ethyl alcohol manufacturing
312130,11.02,Manufacture of wine from grape,Wineries,Except brandies and fruit spirits
312130,11.03,Manufacture of cider and other fruit wines,Wineries,Cider manufacturing
312130,11.04,Manufacture of other non-distilled fermented beverages,Wineries,Vermouth and similar manufacturing
312120,11.05,Manufacture of beer,Breweries,
311213,11.06,Manufacture of malt,Malt Manufacturing,
312111,11.07,Manufacture of soft drinks; production of mineral waters and other bottled waters,Soft Drink Manufacturing,
312112,11.07,Manufacture of soft drinks; production of mineral waters and other bottled waters,Bottled Water Manufacturing,
312230,12.00,Manufacture of tobacco products,Tobacco Manufacturing,
313110,13.10,Preparation and spinning of textile fibres,"Fiber, Yarn, and Thread Mills",
313310,13.10,Preparation and spinning of textile fibres,Textile and Fabric Finishing Mills,Preparation of fibers
314999,13.10,Preparation and spinning of textile fibres,All Other Miscellaneous Textile Product Mills,Processing textile mill waste
313210,13.20,Weaving of textiles,Broadwoven Fabric Mills,Except artificial fur on woven base
313310,13.30,Finishing of textiles,Textile and Fabric Finishing Mills,Except preparation of fibers
313320,13.30,Finishing of textiles,Fabric Coating Mills,Except rubberizing fabric
314999,13.30,Finishing of textiles,All Other Miscellaneous Textile Product Mills,"Embroidery, decorative stitching, dyeing, etc. on textile articles and apparel"
323113,13.30,Finishing of textiles,Commercial Screen Printing,"Screen printing on made up textile products, including apparel"
561990,13.30,Finishing of textiles,All Other Support Services,"Cloth cutting, winding, or bolting for the trade"
313240,13.91,Manufacture of knitted and crocheted fabrics,Knit Fabric Mills,
314120,13.92,"Manufacture of made-up textile articles, except apparel",Curtain and Linen Mills,Except plastics shower curtains and table cloths made from purchased materials
314910,13.92,"Manufacture of made-up textile articles, except apparel",Textile Bag and Canvas Mills,Except plastics blanket bags
314999,13.92,"Manufacture of made-up textile articles, except apparel",All Other Miscellaneous Textile Product Mills,"Miscellaneous textile products such as dust cloths, sleeping bags, etc."
336360,13.92,"Manufacture of made-up textile articles, except apparel",Motor Vehicle Seating and Interior Trim Manufacturing,"Automobile motor vehicle interior systems (headliners, panels ), seat belts, tire covers and seat covers made from purchased fabrics"
337920,13.92,"Manufacture of made-up textile articles, except apparel",Blind and Shade Manufacturing,"Except wooden blinds and drapery rods, plastics shades and drapery rods, metal drapery rods, and metal shades and blinds"
314110,13.93,Manufacture of carpets and rugs,Carpet and Rug Mills,
314999,13.93,Manufacture of carpets and rugs,All Other Miscellaneous Textile Product Mills,"Rug binding for the trade and carpet cutting, carpets made from purchased fabric"
314994,13.94,"Manufacture of cordage, rope, twine and netting","Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",
314999,13.94,"Manufacture of cordage, rope, twine and netting",All Other Miscellaneous Textile Product Mills,Knotted rope net products made from purchased rope
313230,13.95,"Manufacture of non-wovens and articles made from non-wovens, except apparel",Nonwoven Fabric Mills,
314994,13.96,Manufacture of other technical and industrial textiles,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",
314999,13.96,Manufacture of other technical and industrial textiles,All Other Miscellaneous Textile Product Mills,"Bats, batting, upholstery filling, textile fire hose, and similar industrial textile products"
335129,13.96,Manufacture of other technical and industrial textiles,Other Lighting Equipment Manufacturing,Incandescent mantles
336360,13.96,Manufacture of other technical and industrial textiles,Motor Vehicle Seating and Interior Trim Manufacturing,Automotive trimmings
339940,13.96,Manufacture of other technical and industrial textiles,Office Supplies (except Paper) Manufacturing,Artists' canvas boards and tracing cloth
339991,13.96,Manufacture of other technical and industrial textiles,"Gasket, Packing, and Sealing Device Manufacturing",Textile gaskets
313220,13.99,Manufacture of other textiles n.e.c.,Narrow Fabric Mills and Schiffli Machine Embroidery,
314999,13.99,Manufacture of other textiles n.e.c.,All Other Miscellaneous Textile Product Mills,Powder puffs and mitts
315990,13.99,Manufacture of other textiles n.e.c.,Apparel Accessories and Other Apparel Manufacturing,"Hat, cap, apparel, umbrella, and similar trimmings made from purchased fabrics"
322220,13.99,Manufacture of other textiles n.e.c.,Paper Bag and Coated and Treated Paper Manufacturing,Pressure-sensitive cloth tape
315210,14.11,Manufacture of leather clothes,Cut and Sew Apparel Contractors,Cutting and sewing contractors except for fur apparel
315280,14.11,Manufacture of leather clothes,Other Cut and Sew Apparel Manufacturing,
316998,14.11,Manufacture of leather clothes,All Other Leather Good and Allied Product Manufacturing,Leather industrial work accessories; protective leather garments
315210,14.12,Manufacture of workwear,Cut and Sew Apparel Contractors,Cutting and sewing contractors except for fur apparel
315220,14.12,Manufacture of workwear,Men's and Boys' Cut and Sew Apparel Manufacturing,
315280,14.12,Manufacture of workwear,Other Cut and Sew Apparel Manufacturing,
315210,14.13,Manufacture of other outerwear,Cut and Sew Apparel Contractors,Cutting and sewing contractors except for fur apparel
315220,14.13,Manufacture of other outerwear,Men's and Boys' Cut and Sew Apparel Manufacturing,
315240,14.13,Manufacture of other outerwear,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",Except artificial fur coats
315280,14.13,Manufacture of other outerwear,Other Cut and Sew Apparel Manufacturing,
315220,14.14,Manufacture of underwear,Men's and Boys' Cut and Sew Apparel Manufacturing,
315240,14.14,Manufacture of underwear,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",
314999,14.19,Manufacture of other wearing apparel and accessories,All Other Miscellaneous Textile Product Mills,Cloth diapers
315210,14.19,Manufacture of other wearing apparel and accessories,Cut and Sew Apparel Contractors,Cutting and sewing contractors except for fur apparel
315990,14.19,Manufacture of other wearing apparel and accessories,Apparel Accessories and Other Apparel Manufacturing,"Except fur gloves and mittens; rubber bathing caps and aprons; and hat, cap, umbrella, and similar trimmings made from purchased fabrics"
339999,14.19,Manufacture of other wearing apparel and accessories,All Other Miscellaneous Manufacturing,Hair nets
313210,14.20,Manufacture of articles of fur,Broadwoven Fabric Mills,Artificial fur on woven base
315210,14.20,Manufacture of articles of fur,Cut and Sew Apparel Contractors,Cutting and sewing contractors for fur apparel
315240,14.20,Manufacture of articles of fur,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",Cut and sew artificial fur coats
315280,14.20,Manufacture of articles of fur,Other Cut and Sew Apparel Manufacturing,Fur apparel (except hats)
315990,14.20,Manufacture of articles of fur,Apparel Accessories and Other Apparel Manufacturing,Fur gloves and mittens
315110,14.31,Manufacture of knitted and crocheted hosiery,Hosiery and Sock Mills,
315190,14.39,Manufacture of other knitted and crocheted apparel,Other Apparel Knitting Mills,
316110,15.11,Tanning and dressing of leather; dressing and dyeing of fur,Leather and Hide Tanning and Finishing,
314910,15.12,"Manufacture of luggage, handbags and the like, saddlery and harness",Textile Bag and Canvas Mills,Plastics blanket bags - sewn
