PRODCOM 2021,Name,AdditionalText,URI
20132473,Hydrogen fluoride (hydrofluoric acid),Reference to HS/CN:  2811 11,20132473
20132475,Silicon dioxide,Reference to HS/CN:  2811 22,20132475
20132477,Sulphur dioxide,Reference to HS/CN:  2811 29 05,20132477
201325,"Oxides, hydroxides and peroxides; hydrazine and hydroxylamine and their inorganic salts",,201325
20132525,"Sodium hydroxide (caustic soda), solid",Reference to HS/CN:  2815 11,20132525
20132527,Sodium hydroxide in aqueous solution (soda lye or liquid soda),Reference to HS/CN:  2815 12,20132527
20132530,Potassium hydroxide (caustic potash),Reference to HS/CN:  2815 20,20132530
20132550,Peroxides of sodium or potassium,Reference to HS/CN:  2815 30,20132550
20132563,Hydroxide and peroxide of magnesium,Reference to HS/CN:  2816 10,20132563
20132565,"Oxides, hydroxides and peroxides, of strontium or barium",Reference to HS/CN:  2816 40,20132565
20132570,Aluminium hydroxide,Reference to HS/CN:  2818 30,20132570
20132580,Hydrazine and hydroxylamine and their inorganic salts,Reference to HS/CN:  2825 10,20132580
201331,Metallic halogenates,,201331
20133115,"Fluorides; fluorosilicates; fluoroaluminates and other complex fluorine salts (Lithium hexafluorophosphate (1-), Lithium difluorophosphate, Lithium hexafluoroarsenate monohydrate, Lithium tetrafluoroborate)",Reference to HS/CN:  2826 90 80,20133115
20133119,"Fluorides; fluorosilicates; fluoroaluminates and other complex fluorine salts (excl. sodium hexafluoroaluminate ""synthetic cryolite""; hexafluorophosphate (1-), difluorophosphate, hexafluoroarsenate monohydrate and tetrafluoroborate of lithium; inorganic or organic compounds of mercury)",Reference to HS/CN:  2826[.12 + .19(.10 + .90) + .30 + .90(.10)],20133119
20133131,Magnesium chlorides,Reference to HS/CN:  2827 31,20133131
20133132,Nickel chlorides,Reference to HS/CN:  2827 35,20133132
20133133,Tin chlorides,Reference to HS/CN:  2827 39 10,20133133
20133134,Cobalt chlorides,Reference to HS/CN:  2827 39 30,20133134
20133139,Other chlorides n.e.s.,Reference to HS/CN:  2827[.20 + .32 + .39(.20 + .85)],20133139
20133150,Chloride oxides and chloride hydroxides of copper and other metals,Reference to HS/CN:  2827[.41 + .49(.10 + .90)],20133150
20133171,Bromides and bromide oxides (excl. bromides of sodium or of potassium),Reference to HS/CN:  2827 59,20133171
20133179,Bromides of sodium or of potassium; iodides and iodide oxides,Reference to HS/CN:  2827[.51 + .60],20133179
201332,"Hypochlorites, chlorates and perchlorates",,201332
20133230,Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites,Reference to HS/CN:  2828[.10 + .90],20133230
20133250,Chlorates and perchlorates; bromates and perbromates; iodates and periodates,Reference to HS/CN:  2829[.11 + .19 + .90(.10 + .40 + .80)],20133250
201341,"Sulphides, sulphites and sulphates",,201341
20134111,"Sulphides of calcium, of antimony or of iron",Reference to HS/CN:  2830 90 11,20134111
20134120,"Sulphides; polysulphides, whether or not chemically defined; dithionites and sulphoxylates (excluding of calcium, antimony and iron)",Reference to HS/CN:  2830[.10 + .90(.85)] + 2831[.10 + .90],20134120
20134133,Sulphites,Reference to HS/CN:  2832[.10 + .20],20134133
20134135,Thiosulphates,Reference to HS/CN:  2832 30,20134135
20134150,Sulphates of aluminium,Reference to HS/CN:  2833 22,20134150
20134155,Sulphates of barium,Reference to HS/CN:  2833 27,20134155
20134160,Sulphates of magnesium,Reference to HS/CN:  2833 21,20134160
20134161,Sulphates of nickel,Reference to HS/CN:  2833 24,20134161
20134162,Sulphates of cobalt; of titanium,Reference to HS/CN:  2833 29 30,20134162
20134165,"Sulphates (excluding those of aluminium, barium, magnesium, nickel, cobalt, titanium)",Reference to HS/CN:  2833[.11 + .19 + .25 + .29(.20 + .60 + .80)],20134165
20134173,Alums,Reference to HS/CN:  2833 30,20134173
20134175,Peroxosulphates (persulphates),Reference to HS/CN:  2833 40,20134175
201342,"Phosphinates, phosphonates, phosphates, polyphosphates and nitrates (except of potassium)",,201342
20134211,Nitrates of barium; of beryllium; of cadmium; of cobalt; of nickel; of lead,Reference to HS/CN:  2834 29 20,20134211
20134212,"Nitrates of copper and other (excluding those of potassium, of barium, of beryllium, of cadmium, of cobalt, of nickel, of lead)",Reference to HS/CN:  2834[.29(.40 + .80)],20134212
20134220,Phosphinates (hypophosphites) and phosphonates (phosphites),Reference to HS/CN:  2835 10,20134220
20134230,Phosphates of mono- or di-sodium,Reference to HS/CN:  2835 22,20134230
20134240,Calcium hydrogenorthophosphate (dicalcium phosphate),Reference to HS/CN:  2835 25,20134240
20134270,Sodium triphosphate (sodium tripolyphosphate),Reference to HS/CN:  2835 31,20134270
20134280,Phosphates (excluding calcium hydrogenorthophosphate and mono- or disodium phosphate); polyphosphates (excluding sodium triphosphate),Reference to HS/CN:  2835[.24 + .26 + .29(.10 + .30 + .90) + .39],20134280
201343,Carbonates,,201343
20134310,Disodium carbonate,Reference to HS/CN:  2836 20,20134310
20134320,Sodium hydrogencarbonate (sodium bicarbonate),Reference to HS/CN:  2836 30,20134320
20134340,Calcium carbonate (precipitated),Reference to HS/CN:  2836 50,20134340
20134350,Lithium carbonates,Reference to HS/CN:  2836 91,20134350
20134395,Other carbonates n.e.s.,Reference to HS/CN:  2836[.40 + .60 + .92 + .99(.11 + .17 + .90)],20134395
201351,Salts of oxometallic or peroxometallic acids; colloidal precious metals,,201351
20135115,Tungstates,Reference to HS/CN:  2841 80,20135115
20135120,"Manganites, manganates and permanganates; molybdates",Reference to HS/CN:  2841[.61 + .69 + .70],20135120
20135125,Chromates and dichromates; peroxochromates,Reference to HS/CN:  2841[.30 + .50],20135125
20135178,Salts of oxometallic and peroxometallic acids: zincates and vanadates,Reference to HS/CN:  2841 90 30,20135178
20135179,Other salts of oxometallic and peroxometallic acids,Reference to HS/CN:  2841 90 85,20135179
20135183,Silver nitrate,Reference to HS/CN:  2843 21,20135183
20135185,Colloidal precious metals; compounds and amalgams of precious metals (excluding silver nitrate),Reference to HS/CN:  2843[.10(.10 + .90) + .29 + .30 + .90(.10 + .90)],20135185
201352,"Inorganic compounds n.e.c., including distilled water; amalgams other than amalgams of precious metals",,201352
20135250,Distilled and conductivity water and water of similar purity,Reference to HS/CN:  2853 90 10,20135250
20135270,"Compounds, inorganic or organic, of mercury, chemically defined as mercury (excluding amalgams)",Reference to HS/CN:  2852 10,20135270
20135275,"Compounds, inorganic or organic, of mercury, not chemically defined (excluding amalgams)",Reference to HS/CN:  2852 90,20135275
20135290,"Other inorganic compounds n.e.c.; amalgams (excluding distilled and conductivity water and water of similar purity, liquid air and compressed air, those of precious metals)",Reference to HS/CN:  2853[.10 + .90(.90a)],20135290
201361,Isotopes n.e.c. and compounds thereof (including heavy water),,201361
20136100,Heavy water (deuterium oxide); isotopes and their compounds (excluding radioactive and the fissile or fertile chemical isotopes),Reference to HS/CN:  2845[.10 + .90(.10 + .90)],20136100
201362,"Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perborates; other salts of inorganic acids or peroxoacids",,201362
20136220,Cyanides; cyanide oxides and complex cyanides,Reference to HS/CN:  2837[.11 + .19 + .20],20136220
20136230,Borates; peroxoborates (perborates),Reference to HS/CN:  2840[.11 + .19(.10 + .90) + .20(.10 + .90) + .30],20136230
20136240,Silicates; commercial alkali metal silicates,Reference to HS/CN:  2839[.11 + .19 + .90],20136240
20136270,Double or complex silicates,Reference to HS/CN:  2842 10,20136270
20136280,Salts of inorganic acids or peroxoacids (excluding azides and double or complex silicates),Reference to HS/CN:  2842[.90(.10 + .80)],20136280
201363,Hydrogen peroxide,,201363
20136300,Hydrogen peroxide,Reference to HS/CN:  2847,20136300
201364,"Phosphides, carbides, hydrides, nitrides, azides, silicides and borides",,201364
20136410,"Carbides of silicon, whether or not chemically defined",Reference to HS/CN:  2849 20,20136410
20136420,"Carbides of boron, whether or not chemically defined",Reference to HS/CN:  2849 90 10,20136420
20136430,"Carbides of tungsten, whether or not chemically defined",Reference to HS/CN:  2849 90 30,20136430
20136451,"Carbides of aluminium, of chromium, of molybdenum, of vanadium, of tantalum; of titanium, whether or not chemically defined",Reference to HS/CN:  2849 90 50,20136451
20136480,"Phosphides (excluding ferrophosphorus), whether or not chemically defined; hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 20.13.64.50",Reference to HS/CN:  2850[.00(.20 + .60 + .90)] + 2853 90 90b,20136480
20136490,Other carbides n.e.s.,Reference to HS/CN:  2849[.10 + .90(.90)],20136490
201365,"Compounds of rare earth metals, of yttrium or of scandium",,201365
20136510,"Compounds, inorganic or organic, of rare-earth metals or of mixtures of these metals. Cerium compounds",Reference to HS/CN:  2846 10,20136510
20136520,"Compounds, inorganic or organic, of rare-earth metals or of mixtures of these metals. Compounds of lanthanum, praseodymium, neodymium, samarium",Reference to HS/CN:  2846 90 10,20136520
20136550,"Compounds, inorganic or organic, of rare-earth metals or of mixtures of these metals. Compounds of europium, gadolinium, terbium, dysprosium, holmium, erbium, thulium, ytterbium, lutetium or yttrium",Reference to HS/CN:  2846 90 20,20136550
20136580,"Compounds, inorganic or organic, of rare-earth metals or of mixtures of these metals. Scandium compounds",Reference to HS/CN:  2846 90 30,20136580
20136585,"Compounds, inorganic or organic, of rare-earth metals or of mixtures of these metals. Compounds of mixtures of metals",Reference to HS/CN:  2846 90 90,20136585
201366,"Sulphur, except sublimed sulphur, precipitated sulphur and colloidal sulphur",,201366
20136600,"Sulphur (excluding crude, sublimed, precipitated and colloidal)",Reference to HS/CN:  2503 00 90,20136600
201367,Roasted iron pyrites,,201367
20136700,Roasted iron pyrites,Reference to HS/CN:  2601 20,20136700
201368,"Piezo-electric quartz; other synthetic or reconstructed precious or semi-precious stones, unworked",,201368
20136800,"Synthetic or reconstructed precious or semi-precious stones, unworked or simply sawn or roughly shaped",Reference to HS/CN:  7104[.10 + .20(.10 + .90)],20136800
2014,Manufacture of other organic basic chemicals,,2014
201411,Acyclic hydrocarbons,,201411
20141120,Saturated acyclic hydrocarbons,Reference to HS/CN:  2901 10,20141120
20141130,Ethylene,Reference to HS/CN:  2901 21,20141130
20141140,Propene (propylene),Reference to HS/CN:  2901 22,20141140
20141150,Butene (butylene) and isomers thereof,Reference to HS/CN:  2901 23,20141150
20141160,"Buta-1,3-diene and isoprene",Reference to HS/CN:  2901 24,20141160
20141190,"Unsaturated acyclic hydrocarbons (excluding ethylene, propene, butene, buta-1,3-diene and isoprene)",Reference to HS/CN:  2901 29,20141190
201412,Cyclic hydrocarbons,,201412
20141213,Cyclohexane,Reference to HS/CN:  2902 11,20141213
20141215,Cyclanes; cyclenes and cycloterpenes (excluding cyclohexane),Reference to HS/CN:  2902 19,20141215
20141223,Benzene,Reference to HS/CN:  2902 20,20141223
20141225,Toluene,Reference to HS/CN:  2902 30,20141225
20141243,o-Xylene,Reference to HS/CN:  2902 41,20141243
20141245,p-Xylene,Reference to HS/CN:  2902 43,20141245
20141247,m-Xylene and mixed xylene isomers,Reference to HS/CN:  2902[.42 + .44],20141247
20141250,Styrene,Reference to HS/CN:  2902 50,20141250
20141260,Ethylbenzene,Reference to HS/CN:  2902 60,20141260
20141270,Cumene,Reference to HS/CN:  2902 70,20141270
20141290,Other cyclic hydrocarbons,Reference to HS/CN:  2902 90,20141290
201413,Chlorinated derivatives of acyclic hydrocarbons,,201413
20141313,Chloromethane (methyl chloride) and chloroethane (ethyl chloride),Reference to HS/CN:  2903 11,20141313
20141315,Dichloromethane (methylene chloride),Reference to HS/CN:  2903 12,20141315
20141323,Chloroform (trichloromethane),Reference to HS/CN:  2903 13,20141323
20141325,Carbon tetrachloride,Reference to HS/CN:  2903 14,20141325
20141353,"1,2-Dichloroethane (ethylene dichloride)",Reference to HS/CN:  2903 15,20141353
20141357,"Saturated chlorinated derivatives of acyclic hydrocarbons, n.e.c.",Reference to HS/CN:  2903 19,20141357
20141371,Vinyl chloride (chloroethylene),Reference to HS/CN:  2903 21,20141371
20141374,Trichloroethylene; tetrachloroethylene (perchloroethylene),Reference to HS/CN:  2903[.22 + .23],20141374
20141379,"Unsaturated chlorinated derivatives of acyclic hydrocarbons (excluding vinyl chloride, trichloroethylene, tetrachloroethylene)",Reference to HS/CN:  2903 29,20141379
201414,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated",,201414
20141450,Derivatives of hydrocarbons containing only sulpho groups; their salts and ethyl esters,Reference to HS/CN:  2904 10,20141450
20141470,Derivatives of hydrocarbons containing only nitro or only nitroso groups,Reference to HS/CN:  2904 20,20141470
20141490,"Derivatives of hydrocarbons (excluding those containing only sulpho groups; their salts and ethyl esters, those containing only nitro or only nitroso groups)",Reference to HS/CN:  2904[.31 + .32 + .33 + .34 + .35 + .36 + .91 + .99],20141490
201419,Other derivatives of hydrocarbons,,201419
20141910,Fluorinated; brominated or iodinated derivatives of acyclic hydrocarbons,Reference to HS/CN:  2903[.31 + .39(.11 + .15 + .19 + .21 + .23 + .24 + .25 + .26 + .27 + .28 + .29 + .31 + .35 + .39 + .80)],20141910
20141930,Halogenated derivatives of acyclic hydrocarbons containing ≥ 2 different halogens,Reference to HS/CN:  2903[.71 + .72 + .73 + .74 + .75 + .76(.10 + .20 + .90) + .77(.60 + .90) + .78 + .79(.30 + .80)],20141930
20141950,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons",Reference to HS/CN:  2903[.81 + .82 + .83 + .89(.10 + .80)],20141950
20141970,Halogenated derivatives of aromatic hydrocarbons,Reference to HS/CN:  2903[.91 + .92 + .93 + .94 + .99(.10 + .80)],20141970
201421,Industrial fatty alcohols,,201421
20142100,Industrial fatty alcohols,Reference to HS/CN:  3823 70,20142100
201422,Monohydric alcohols,,201422
20142210,Methanol (methyl alcohol),Reference to HS/CN:  2905 11,20142210
20142220,Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),Reference to HS/CN:  2905 12,20142220
20142230,Butan-1-ol (n-butyl alcohol),Reference to HS/CN:  2905 13,20142230
20142240,Butanols (excluding butan-1-ol (n-butyl alcohol)),Reference to HS/CN:  2905[.14(.10 + .90)],20142240
20142263,Octanol (octyl alcohol) and isomers thereof,Reference to HS/CN:  2905[.16(.20 + .85)],20142263
20142265,"Lauryl alcohol; cetyl alcohol; stearyl alcohol and other saturated monohydric alcohols (excluding methyl, propyl and isopropyl, n-butyl, other butanols, octyl)",Reference to HS/CN:  2905[.17 + .19],20142265
20142270,Unsaturated monohydric alcohols,Reference to HS/CN:  2905[.22 + .29(.10 + .90)],20142270
201423,"Diols, polyalcohols, cyclical alcohols and derivatives thereof",,201423
20142310,Ethylene glycol (ethanediol),Reference to HS/CN:  2905 31,20142310
20142320,"Propylene glycol (propane-1,2-diol)",Reference to HS/CN:  2905 32,20142320
20142333,D-glucitol (sorbitol),Reference to HS/CN:  2905[.44(.11 + .19 + .91 + .99)],20142333
20142337,"Diols and polyhydric alcohols (excluding ethylene glycol and propylene glycol, D-glucitol and tetramethylene glycol having a bio-based carbon content of 100 % by mass)",Reference to HS/CN:  2905[.39(.20 + .28 + .30 + .95) + .41 + .42 + .43 + .49],20142337
20142338,"Butane-1,4-diol or tetramethylene glycol (1,4-butanediol) having a bio-based carbon content of 100 % by mass",Reference to HS/CN:  2905 39 26,20142338
20142350,"Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols",Reference to HS/CN:  2905[.51 + .59(.91 + .98)],20142350
20142360,"Glycerol (including synthetic; excluding crude, waters and lyes)",Reference to HS/CN:  2905 45,20142360
20142373,"Cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",Reference to HS/CN:  2906[.11 + .12 + .13(.10 + .90) + .19],20142373
20142375,"Aromatic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",Reference to HS/CN:  2906[.21 + .29],20142375
201424,Phenols; phenol-alcohols and derivatives of phenols,,201424
20142410,Monophenols,Reference to HS/CN:  2907[.11 + .12 + .13 + .15(.10 + .90) + .19(.10 + .90)],20142410
20142433,"4,4-Isopropylidenediphenol (bisphenol A; diphenylolpropane) and its salts",Reference to HS/CN:  2907 23,20142433
20142439,"Polyphenols (including salts; excluding 4,4 isopropylidenediphenol) and phenol-alcohols",Reference to HS/CN:  2907[.21 + .22 + .29],20142439
20142450,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols",Reference to HS/CN:  2908[.11 + .19 + .91 + .92 + .99],20142450
201431,Industrial monocarboxylic fatty acids; acid oils from refining,,201431
20143120,Industrial stearic acid,Reference to HS/CN:  3823 11,20143120
20143130,Industrial oleic acid,Reference to HS/CN:  3823 12,20143130
20143150,Industrial tall oil fatty acids,Reference to HS/CN:  3823 13,20143150
20143195,"Industrial monocarboxylic fatty acids distilled (excluding stearic, oleic tall oil)",Reference to HS/CN:  3823 19 10,20143195
20143197,"Industrial monocarboxylic fatty acids (excluding stearic, oleic, tall oil, distilled)",Reference to HS/CN:  3823[.19(.30 + .90)],20143197
201432,Saturated acyclic monocarboxylic acids and their derivatives,,201432
20143215,Ethyl acetate,Reference to HS/CN:  2915 31,20143215
20143219,Esters of acetic acid (excluding ethyl acetate),Reference to HS/CN:  2915[.32 + .33 + .36 + .39],20143219
20143220,"Mono-, di- or tri-chloroacetic acids; propionic, butanoic and pentanoic acids; their salts and esters",Reference to HS/CN:  2915[.40 + .50 + .60(.11 + .19 + .90)],20143220
20143235,"Palmitic acid, stearic acid, their salts and esters",Reference to HS/CN:  2915[.70(.40 + .50)],20143235
20143250,"Formic acid, its salts and esters",Reference to HS/CN:  2915[.11 + .12 + .13],20143250
20143271,Acetic acid,Reference to HS/CN:  2915 21,20143271
20143277,Acetic anhydride,Reference to HS/CN:  2915 24,20143277
20143278,Salts of acetic acid,Reference to HS/CN:  2915 29,20143278
20143280,Lauric acid and others; salts and esters,Reference to HS/CN:  2915[.90(.30 + .70)],20143280
201433,"Unsaturated monocarboxylic, cyclanic, cyclenic or cycloterpenic acyclic polycarboxylic acids and their derivatives",,201433
20143310,Acrylic acid and its salts and other monocarboxylic acid,Reference to HS/CN:  2916[.11 + .16 + .19(.10 + .40 + .95) + .20],20143310
20143320,Esters of acrylic acid,Reference to HS/CN:  2916 12,20143320
20143330,Methacrylic acid and its salts,Reference to HS/CN:  2916 13,20143330
20143340,Esters of methacrylic acid,Reference to HS/CN:  2916 14,20143340
20143350,"Oleic, linoleic or linolenic acids; their salts and esters",Reference to HS/CN:  2916 15,20143350
20143363,Benzoic acid; its salts and esters,Reference to HS/CN:  2916 31,20143363
20143365,Benzoyl peroxide and benzoyl chloride,Reference to HS/CN:  2916 32,20143365
20143367,Phenylacetic acid; its salts and esters,Reference to HS/CN:  2916[.34 + .39(.10)],20143367
20143370,"Aromatic monocarboxylic acids, (anhydrides), halides, peroxides, peroxyacids, derivatives excluding benzoic acid, phenylacetic acids their salts/esters, benzoyl peroxide, benzoyl chloride",Reference to HS/CN:  2916 39 90,20143370
20143381,"Oxalic, azelaic, malonic, other, cyclanic, cylenic or cycloterpenic polycarboxylic acids, salts (excluding butanedioic acid having a bio-based carbon content of 100 % by mass)",Reference to HS/CN:  2917[.11 + .13(.10 + .90) + .19(.10 + .80) + .20],20143381
20143382,"Ethane-1,2-dicarboxylic acid or butanedioic acid (succinic acid) having a bio-based carbon content of 100 % by mass",Reference to HS/CN:  2917 19 20,20143382
20143385,Adipic acid; its salts and esters,Reference to HS/CN:  2917 12,20143385
20143387,Maleic anhydride,Reference to HS/CN:  2917 14,20143387
201434,"Aromatic polycarboxylic and carboxylic acids with additional oxygen functions; and their derivatives, except salicylic acid and its salts",,201434
20143410,Dibutyl and dioctyl orthophthalates,Reference to HS/CN:  2917[.32 + .34(.00a)],20143410
20143420,Other esters of orthophthalic acid,Reference to HS/CN:  2917[.33 + .34(.00b)],20143420
20143430,Phthalic anhydride; terephthalic acid and its salts,Reference to HS/CN:  2917[.35 + .36],20143430
20143440,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding esters of orthophthalic acid, phthalic anhydride, terephthalic acid and its salts)",Reference to HS/CN:  2917[.37 + .39(.20 + .95)],20143440
20143473,Citric acid and its salts and esters,Reference to HS/CN:  2918[.14 + .15],20143473
20143475,"Carboxylic acid with alcohol, phenol, aldehyde or ketone functions",Reference to HS/CN:  2918[.11 + .12 + .13 + .16 + .17 + .18 + .19(.30 + .40 + .98) + .29 + .30 + .91 + .99(.40 + .90)],20143475
201434Z1,Esters of orthophthalic acid,Reference to HS/CN:  2917[.32 + .33 + .34],201434Z1
201441,Amine function compounds,,201441
20144113,Methylamine; di- or trimethylamine and their salts,Reference to HS/CN:  2921 11,20144113
20144119,Other acylic monoamines and their derivatives; salts thereof,Reference to HS/CN:  2921[.12 + .13 + .14 + .19(.40 + .50 + .99)],20144119
20144123,Hexamethylenediamine and its salts; ethylenediamine and its salts,Reference to HS/CN:  2921[.21 + .22],20144123
20144129,Other acyclic polyamines and their derivatives; salts thereof,Reference to HS/CN:  2921 29,20144129
20144130,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof",Reference to HS/CN:  2921[.30(.10 + .91 + .99)],20144130
20144151,Aniline and its salts (excluding derivatives),Reference to HS/CN:  2921 41,20144151
20144153,Aniline derivatives and their salts,Reference to HS/CN:  2921 42,20144153
20144159,Other aromatic monoamines and their derivatives; salts thereof,Reference to HS/CN:  2921[.43 + .44 + .45 + .46 + .49],20144159
20144170,Aromatic polyamines and their derivatives; salts thereof,Reference to HS/CN:  2921[.51(.11 + .19 + .90) + .59(.50 + .90)],20144170
201442,"Oxygen-function amino-compounds, except lysine and glutamic acid",,201442
20144233,Monoethanolamine and its salts,Reference to HS/CN:  2922 11,20144233
20144235,Diethanolamine and its salts,Reference to HS/CN:  2922 12,20144235
20144238,"Amino-alcohols, their ethers and esters with only 1 oxygen function and their salts (excluding monoethanolamine and its salts, diethanolamine and its salts)",Reference to HS/CN:  2922[.14 + .15 + .16 + .17 + .18 + .19],20144238
20144290,"Oxygen-function amino-compounds (excluding amino-alcohols, their esters and ethers and salts thereof, lysine and its salts and esters, glutamic acid its salts and esters)",Reference to HS/CN:  2922[.21 + .29 + .31 + .39 + .43 + .44 + .49(.20 + .85) + .50],20144290
201443,"Ureines; carboxymide-function compounds, nitrile function compounds; derivatives thereof",,201443
20144310,Ureines and their derivatives; salts thereof,Reference to HS/CN:  2924 21,20144310
20144320,Saccharin and its salts,Reference to HS/CN:  2925 11,20144320
20144330,"Imides and their derivatives, and salts thereof (excluding saccharin and its salts)",Reference to HS/CN:  2925[.12 + .19(.20 + .95)],20144330
20144340,Imines and their derivatives; and salts thereof,Reference to HS/CN:  2925[.21 + .29],20144340
20144350,Acrylonitrile,Reference to HS/CN:  2926 10,20144350
20144360,1-Cyanoguanidine (dicyandiamide),Reference to HS/CN:  2926 20,20144360
20144370,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine (dicyandiamide))",Reference to HS/CN:  2926[.30 + .40 + .90(.20 + .70)],20144370
201444,Compounds with other nitrogen functions,,201444
20144420,"Diazo-, azo- or azoxy-compounds",Reference to HS/CN:  2927,20144420
20144430,Organic derivatives of hydrazine or of hydroxylamine,Reference to HS/CN:  2928[.00(.10 + .90)],20144430
20144450,Isocyanates,Reference to HS/CN:  2929 10,20144450
20144490,Compounds with other nitrogen function (excluding isocyanates),Reference to HS/CN:  2929 90,20144490
201451,Organo-sulphur and other organo-inorganic compounds,,201451
20145133,"Thiocarbamates and dithiocarbamates; thiuram mono-, di- or tetrasulphides; methionine",Reference to HS/CN:  2930[.20 + .30 + .40(.10 + .90)],20145133
20145139,Other organo-sulphur compounds,Reference to HS/CN:  2930[.60 + .70 + .80 + .90(.13 + .16 + .30 + .40 + .50 + .98)],20145139
20145151,Organo-inorganic compounds (excluding organo-sulphur compounds),Reference to HS/CN:  2931[.10 + .20 + .31 + .32 + .33 + .34 + .35 + .36 + .37 + .38 + .39(.20 + .30 + .50 + .60 + .90) + .90],20145151
201452,Heterocyclic compounds n.e.c.; nucleic acids and their salts,,201452
20145215,"Tetrahydrofuran, 2-Furaldehyde, Furfuryl alcohol, Tetrahydrofurfuryl alcohol and Piperonal",Reference to HS/CN:  2932[.11 + .12 + .13 + .93],20145215
20145225,Heterocyclic compounds with oxygen only hetero-atom(s) (excluding other lactones),Reference to HS/CN:  2932[.14 + .19 + .91 + .92 + .94 + .95 + .99],20145225
20145230,Heterocyclic compounds with nitrogen only hetero-atom(s); containing an unfused imidazole ring (excluding hydantoin and its derivatives),Reference to HS/CN:  2933[.29(.10 + .90)],20145230
20145260,Melamine,Reference to HS/CN:  2933 61,20145260
20145280,"Compounds containing in the structure an unfused pyridine ring or a quinoline or isoquinoline ring-system, not further fused; lactames; other heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing in the structure an unfused pyrazole ring, an unfused imidazole ring, a pyrimidine ring, a piperazine ring or an unfused triazine ring)",Reference to HS/CN:  2933[.31 + .32 + .33 + .39(.10 + .20 + .25 + .35 + .40 + .45 + .50 + .55 + .99) + .41 + .49(.10 + .30 + .90) + .71 + .72 + .79 + .91(.10 + .90) + .92 + .99(.20 + .50 + .80)],20145280
20145290,"Nucleic acids and other heterocyclic compounds - thiazole, benzothiazole, other cycles",Reference to HS/CN:  2934[.10 + .20(.20 + .80) + .91 + .99(.60 + .90)] + 2939 80,20145290
201453,"Phosphoric esters and their salts or esters of other inorganic acids (excluding esters of hydrogen halides) and their salts; and their halogenated, sulphonated, nitrated or nitrosated derivatives",,201453
20145350,Phosphoric esters; and their salts (including lactophosphates; their halogenated; sulphonated; nitrated or nitrosated derivatives),Reference to HS/CN:  2919[.10 + .90],20145350
20145380,"Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives",Reference to HS/CN:  2920[.11 + .19 + .21 + .22 + .23 + .24 + .29 + .30 + .90(.10 + .70)],20145380
201461,Aldehyde function compounds,,201461
20146111,Methanal (formaldehyde),Reference to HS/CN:  2912 11,20146111
20146113,Ethanal (acetaldehyde),Reference to HS/CN:  2912 12,20146113
20146115,Butanal (butyraldehyde; normal isomer),Reference to HS/CN:  2912 19 00a,20146115
20146119,"Acyclic aldehydes, without other oxygen function (excluding methanal (formaldehyde), ethanal (acetaldehyde), butanal (butyraldehyde; normal isomer))",Reference to HS/CN:  2912 19 00b,20146119
20146120,Cyclic aldehydes; without other oxygen function,Reference to HS/CN:  2912[.21 + .29],20146120
20146135,"Aldehyde-alcohols, Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function",Reference to HS/CN:  2912[.41 + .42 + .49],20146135
20146150,Cyclic polymers of aldehydes,Reference to HS/CN:  2912 50,20146150
20146160,Paraformaldehyde,Reference to HS/CN:  2912 60,20146160
20146170,"Halogenated, sulphonated, nitrated or nitrosated derivatives of cyclic polymers of aldehydes or paraformaldehyde",Reference to HS/CN:  2913,20146170
201461Z0,"Acyclic aldehydes without other oxygen function (excluding methanal, ethanal)",Reference to HS/CN:  2912 19,201461Z0
201462,Ketone and quinone function compounds,,201462
20146211,Acetone,Reference to HS/CN:  2914 11,20146211
20146213,Butanone (methyl ethyl ketone),Reference to HS/CN:  2914 12,20146213
20146215,4-Methylpentan-2-one (methyl isobutyl ketone),Reference to HS/CN:  2914 13,20146215
20146219,"Acyclic ketones; without other oxygen function (excluding acetone, butanone (methyl ethyl ketone), 4-methylpentan-2-one (methyl isobutyl ketone))",Reference to HS/CN:  2914[.19(.10 + .90)],20146219
