"NACE2","CPA21","Label_NACE2","Label_CPA21","Include_NACE2","Exclude_NACE2","Include_CPA21","Exclude_CPA21","Comment","URL"
"01.13","01.13.6","Culture de légumes, de melons, de racines et de tubercules","Plants et semences potagers, à l'exclusion des semences de betteraves","Cette classe comprend: - la culture des légumes à feuilles et à tiges, tels que:   • artichauts   • asperges   • choux   • choux-fleurs et brocolis   • laitues et chicorées   • épinards   • autres légumes à feuilles et à tiges - la culture de plantes cultivées pour leurs fruits, telles que:   • concombres et cornichons   • aubergines   • tomates   • pastèques   • melons cantaloups   • autres melons et plantes cultivées pour leurs fruits - la culture des légumes à racines, à bulbes ou à tubercules, tels que:   • carottes   • navets   • ail   • oignons (et échalotes)   • poireaux et autres légumes alliacés   • autres légumes à racines, à bulbes ou à tubercules - la culture des champignons et des truffes - la production de semences de légumes, y compris de graines de betteraves sucrières, à l’exclusion des graines d’autres betteraves - la culture des betteraves sucrières - la culture d’autres légumes - la culture de racines et de tubercules, tels que:   • pommes de terre   • patates douces   • manioc   • ignames   • autres racines et tubercules","Cette classe ne comprend pas: - la culture de piments, de poivrons et d’autres plantes à épices et aromatiques, voir 01.28 - la culture de blanc de champignons, voir 01.30",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0113"
"01.13","01.13.1","Culture de légumes, de melons, de racines et de tubercules","Légumes à feuilles ou à tiges","Cette classe comprend: - la culture des légumes à feuilles et à tiges, tels que:   • artichauts   • asperges   • choux   • choux-fleurs et brocolis   • laitues et chicorées   • épinards   • autres légumes à feuilles et à tiges - la culture de plantes cultivées pour leurs fruits, telles que:   • concombres et cornichons   • aubergines   • tomates   • pastèques   • melons cantaloups   • autres melons et plantes cultivées pour leurs fruits - la culture des légumes à racines, à bulbes ou à tubercules, tels que:   • carottes   • navets   • ail   • oignons (et échalotes)   • poireaux et autres légumes alliacés   • autres légumes à racines, à bulbes ou à tubercules - la culture des champignons et des truffes - la production de semences de légumes, y compris de graines de betteraves sucrières, à l’exclusion des graines d’autres betteraves - la culture des betteraves sucrières - la culture d’autres légumes - la culture de racines et de tubercules, tels que:   • pommes de terre   • patates douces   • manioc   • ignames   • autres racines et tubercules","Cette classe ne comprend pas: - la culture de piments, de poivrons et d’autres plantes à épices et aromatiques, voir 01.28 - la culture de blanc de champignons, voir 01.30",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0113"
"01.13","01.13.2","Culture de légumes, de melons, de racines et de tubercules","Melons","Cette classe comprend: - la culture des légumes à feuilles et à tiges, tels que:   • artichauts   • asperges   • choux   • choux-fleurs et brocolis   • laitues et chicorées   • épinards   • autres légumes à feuilles et à tiges - la culture de plantes cultivées pour leurs fruits, telles que:   • concombres et cornichons   • aubergines   • tomates   • pastèques   • melons cantaloups   • autres melons et plantes cultivées pour leurs fruits - la culture des légumes à racines, à bulbes ou à tubercules, tels que:   • carottes   • navets   • ail   • oignons (et échalotes)   • poireaux et autres légumes alliacés   • autres légumes à racines, à bulbes ou à tubercules - la culture des champignons et des truffes - la production de semences de légumes, y compris de graines de betteraves sucrières, à l’exclusion des graines d’autres betteraves - la culture des betteraves sucrières - la culture d’autres légumes - la culture de racines et de tubercules, tels que:   • pommes de terre   • patates douces   • manioc   • ignames   • autres racines et tubercules","Cette classe ne comprend pas: - la culture de piments, de poivrons et d’autres plantes à épices et aromatiques, voir 01.28 - la culture de blanc de champignons, voir 01.30",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0113"
"01.13","01.13.3","Culture de légumes, de melons, de racines et de tubercules","Autres légumes à fruits","Cette classe comprend: - la culture des légumes à feuilles et à tiges, tels que:   • artichauts   • asperges   • choux   • choux-fleurs et brocolis   • laitues et chicorées   • épinards   • autres légumes à feuilles et à tiges - la culture de plantes cultivées pour leurs fruits, telles que:   • concombres et cornichons   • aubergines   • tomates   • pastèques   • melons cantaloups   • autres melons et plantes cultivées pour leurs fruits - la culture des légumes à racines, à bulbes ou à tubercules, tels que:   • carottes   • navets   • ail   • oignons (et échalotes)   • poireaux et autres légumes alliacés   • autres légumes à racines, à bulbes ou à tubercules - la culture des champignons et des truffes - la production de semences de légumes, y compris de graines de betteraves sucrières, à l’exclusion des graines d’autres betteraves - la culture des betteraves sucrières - la culture d’autres légumes - la culture de racines et de tubercules, tels que:   • pommes de terre   • patates douces   • manioc   • ignames   • autres racines et tubercules","Cette classe ne comprend pas: - la culture de piments, de poivrons et d’autres plantes à épices et aromatiques, voir 01.28 - la culture de blanc de champignons, voir 01.30",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0113"
"01.13","01.13.4","Culture de légumes, de melons, de racines et de tubercules","Légumes à racine, à bulbe ou à tubercules","Cette classe comprend: - la culture des légumes à feuilles et à tiges, tels que:   • artichauts   • asperges   • choux   • choux-fleurs et brocolis   • laitues et chicorées   • épinards   • autres légumes à feuilles et à tiges - la culture de plantes cultivées pour leurs fruits, telles que:   • concombres et cornichons   • aubergines   • tomates   • pastèques   • melons cantaloups   • autres melons et plantes cultivées pour leurs fruits - la culture des légumes à racines, à bulbes ou à tubercules, tels que:   • carottes   • navets   • ail   • oignons (et échalotes)   • poireaux et autres légumes alliacés   • autres légumes à racines, à bulbes ou à tubercules - la culture des champignons et des truffes - la production de semences de légumes, y compris de graines de betteraves sucrières, à l’exclusion des graines d’autres betteraves - la culture des betteraves sucrières - la culture d’autres légumes - la culture de racines et de tubercules, tels que:   • pommes de terre   • patates douces   • manioc   • ignames   • autres racines et tubercules","Cette classe ne comprend pas: - la culture de piments, de poivrons et d’autres plantes à épices et aromatiques, voir 01.28 - la culture de blanc de champignons, voir 01.30",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0113"
"01.13","01.13.5","Culture de légumes, de melons, de racines et de tubercules","Racines et tubercules à amidon ou inuline comestibles","Cette classe comprend: - la culture des légumes à feuilles et à tiges, tels que:   • artichauts   • asperges   • choux   • choux-fleurs et brocolis   • laitues et chicorées   • épinards   • autres légumes à feuilles et à tiges - la culture de plantes cultivées pour leurs fruits, telles que:   • concombres et cornichons   • aubergines   • tomates   • pastèques   • melons cantaloups   • autres melons et plantes cultivées pour leurs fruits - la culture des légumes à racines, à bulbes ou à tubercules, tels que:   • carottes   • navets   • ail   • oignons (et échalotes)   • poireaux et autres légumes alliacés   • autres légumes à racines, à bulbes ou à tubercules - la culture des champignons et des truffes - la production de semences de légumes, y compris de graines de betteraves sucrières, à l’exclusion des graines d’autres betteraves - la culture des betteraves sucrières - la culture d’autres légumes - la culture de racines et de tubercules, tels que:   • pommes de terre   • patates douces   • manioc   • ignames   • autres racines et tubercules","Cette classe ne comprend pas: - la culture de piments, de poivrons et d’autres plantes à épices et aromatiques, voir 01.28 - la culture de blanc de champignons, voir 01.30",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0113"
"01.13","01.13.7","Culture de légumes, de melons, de racines et de tubercules","Betteraves à sucre et semences de betteraves à sucre","Cette classe comprend: - la culture des légumes à feuilles et à tiges, tels que:   • artichauts   • asperges   • choux   • choux-fleurs et brocolis   • laitues et chicorées   • épinards   • autres légumes à feuilles et à tiges - la culture de plantes cultivées pour leurs fruits, telles que:   • concombres et cornichons   • aubergines   • tomates   • pastèques   • melons cantaloups   • autres melons et plantes cultivées pour leurs fruits - la culture des légumes à racines, à bulbes ou à tubercules, tels que:   • carottes   • navets   • ail   • oignons (et échalotes)   • poireaux et autres légumes alliacés   • autres légumes à racines, à bulbes ou à tubercules - la culture des champignons et des truffes - la production de semences de légumes, y compris de graines de betteraves sucrières, à l’exclusion des graines d’autres betteraves - la culture des betteraves sucrières - la culture d’autres légumes - la culture de racines et de tubercules, tels que:   • pommes de terre   • patates douces   • manioc   • ignames   • autres racines et tubercules","Cette classe ne comprend pas: - la culture de piments, de poivrons et d’autres plantes à épices et aromatiques, voir 01.28 - la culture de blanc de champignons, voir 01.30",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0113"
"01.13","01.13.8","Culture de légumes, de melons, de racines et de tubercules","Champignons et truffes","Cette classe comprend: - la culture des légumes à feuilles et à tiges, tels que:   • artichauts   • asperges   • choux   • choux-fleurs et brocolis   • laitues et chicorées   • épinards   • autres légumes à feuilles et à tiges - la culture de plantes cultivées pour leurs fruits, telles que:   • concombres et cornichons   • aubergines   • tomates   • pastèques   • melons cantaloups   • autres melons et plantes cultivées pour leurs fruits - la culture des légumes à racines, à bulbes ou à tubercules, tels que:   • carottes   • navets   • ail   • oignons (et échalotes)   • poireaux et autres légumes alliacés   • autres légumes à racines, à bulbes ou à tubercules - la culture des champignons et des truffes - la production de semences de légumes, y compris de graines de betteraves sucrières, à l’exclusion des graines d’autres betteraves - la culture des betteraves sucrières - la culture d’autres légumes - la culture de racines et de tubercules, tels que:   • pommes de terre   • patates douces   • manioc   • ignames   • autres racines et tubercules","Cette classe ne comprend pas: - la culture de piments, de poivrons et d’autres plantes à épices et aromatiques, voir 01.28 - la culture de blanc de champignons, voir 01.30",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0113"
"01.13","01.13.9","Culture de légumes, de melons, de racines et de tubercules","Légumes frais n.c.a.","Cette classe comprend: - la culture des légumes à feuilles et à tiges, tels que:   • artichauts   • asperges   • choux   • choux-fleurs et brocolis   • laitues et chicorées   • épinards   • autres légumes à feuilles et à tiges - la culture de plantes cultivées pour leurs fruits, telles que:   • concombres et cornichons   • aubergines   • tomates   • pastèques   • melons cantaloups   • autres melons et plantes cultivées pour leurs fruits - la culture des légumes à racines, à bulbes ou à tubercules, tels que:   • carottes   • navets   • ail   • oignons (et échalotes)   • poireaux et autres légumes alliacés   • autres légumes à racines, à bulbes ou à tubercules - la culture des champignons et des truffes - la production de semences de légumes, y compris de graines de betteraves sucrières, à l’exclusion des graines d’autres betteraves - la culture des betteraves sucrières - la culture d’autres légumes - la culture de racines et de tubercules, tels que:   • pommes de terre   • patates douces   • manioc   • ignames   • autres racines et tubercules","Cette classe ne comprend pas: - la culture de piments, de poivrons et d’autres plantes à épices et aromatiques, voir 01.28 - la culture de blanc de champignons, voir 01.30",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0113"
"01.14","01.14","Culture de la canne à sucre","Cannes à sucre",NA,"Cette classe ne comprend pas: - la culture de betteraves sucrières, voir 01.13",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0114"
"01.14","01.14.1","Culture de la canne à sucre","Cannes à sucre",NA,"Cette classe ne comprend pas: - la culture de betteraves sucrières, voir 01.13",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0114"
"01.15","01.15.1","Culture du tabac","Tabac brut",NA,"Cette classe ne comprend pas: - la fabrication de produits à base de tabac, voir 12.00",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0115"
"01.15","01.15","Culture du tabac","Tabac brut",NA,"Cette classe ne comprend pas: - la fabrication de produits à base de tabac, voir 12.00",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0115"
"01.16","01.16.1","Culture de plantes à fibres","Plantes textiles","Cette classe comprend: - la culture du coton - la culture de jute, de kenaf et d’autres fibres textiles libériennes - la culture de lin ou de chanvre - la culture de sisal et d’autres fibres textiles du genre agave - la culture de l’abaca, de la ramie et d’autres fibres textiles végétales - la culture d’autres plantes à fibres",NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0116"
"01.16","01.16","Culture de plantes à fibres","Plantes textiles","Cette classe comprend: - la culture du coton - la culture de jute, de kenaf et d’autres fibres textiles libériennes - la culture de lin ou de chanvre - la culture de sisal et d’autres fibres textiles du genre agave - la culture de l’abaca, de la ramie et d’autres fibres textiles végétales - la culture d’autres plantes à fibres",NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0116"
"01.19","01.19","Autres cultures non permanentes","Autres cultures non permanentes","Cette classe comprend toutes les autres cultures non permanentes: - la culture de rutabagas, betteraves fourragères, racines fourragères, luzerne, trèfle, sainfoin, maïs fourrager, choux fourragers et autres produits fourragers similaires - la production de graines de betteraves (à l’exclusion des graines de betteraves sucrières) et de graines de plantes fourragères - la culture de fleurs - la production de fleurs coupées et de boutons de fleurs - la production de semences de fleurs","Cette classe ne comprend pas: - les cultures non permanentes de plantes à épices, aromatiques, médicinales et pharmaceutiques, voir 01.28",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0119"
"01.19","01.19.1","Autres cultures non permanentes","Plantes fourragères","Cette classe comprend toutes les autres cultures non permanentes: - la culture de rutabagas, betteraves fourragères, racines fourragères, luzerne, trèfle, sainfoin, maïs fourrager, choux fourragers et autres produits fourragers similaires - la production de graines de betteraves (à l’exclusion des graines de betteraves sucrières) et de graines de plantes fourragères - la culture de fleurs - la production de fleurs coupées et de boutons de fleurs - la production de semences de fleurs","Cette classe ne comprend pas: - les cultures non permanentes de plantes à épices, aromatiques, médicinales et pharmaceutiques, voir 01.28",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0119"
"01.19","01.19.2","Autres cultures non permanentes","Fleurs coupées et boutons de fleurs; semences florales","Cette classe comprend toutes les autres cultures non permanentes: - la culture de rutabagas, betteraves fourragères, racines fourragères, luzerne, trèfle, sainfoin, maïs fourrager, choux fourragers et autres produits fourragers similaires - la production de graines de betteraves (à l’exclusion des graines de betteraves sucrières) et de graines de plantes fourragères - la culture de fleurs - la production de fleurs coupées et de boutons de fleurs - la production de semences de fleurs","Cette classe ne comprend pas: - les cultures non permanentes de plantes à épices, aromatiques, médicinales et pharmaceutiques, voir 01.28",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0119"
"01.19","01.19.3","Autres cultures non permanentes","Semences de betteraves et de plantes fourragères, autres produits végétaux bruts","Cette classe comprend toutes les autres cultures non permanentes: - la culture de rutabagas, betteraves fourragères, racines fourragères, luzerne, trèfle, sainfoin, maïs fourrager, choux fourragers et autres produits fourragers similaires - la production de graines de betteraves (à l’exclusion des graines de betteraves sucrières) et de graines de plantes fourragères - la culture de fleurs - la production de fleurs coupées et de boutons de fleurs - la production de semences de fleurs","Cette classe ne comprend pas: - les cultures non permanentes de plantes à épices, aromatiques, médicinales et pharmaceutiques, voir 01.28",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0119"
