NAICS 2017,NAICS 2022,2017 NAICS Title,2022 NAICS Title,Change Indicator
423920,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,Toy and Hobby Goods and Supplies Merchant Wholesalers,
56152,56152,Tour OperatorsT,Tour OperatorsT,
561520,561520,Tour Operators,Tour Operators,
334514,334514,Totalizing Fluid Meter and Counting Device Manufacturing,Totalizing Fluid Meter and Counting Device Manufacturing,
31183,31183,Tortilla ManufacturingT,Tortilla ManufacturingT,
311830,311830,Tortilla Manufacturing,Tortilla Manufacturing,
32562,32562,Toilet Preparation ManufacturingT,Toilet Preparation ManufacturingT,
325620,325620,Toilet Preparation Manufacturing,Toilet Preparation Manufacturing,
42494,42494,Tobacco and Tobacco Product Merchant Wholesalers,Tobacco Product and Electronic Cigarette Merchant Wholesalers,*
424940,424940,Tobacco and Tobacco Product Merchant Wholesalers,Tobacco Product and Electronic Cigarette Merchant Wholesalers,*
3122,3122,Tobacco ManufacturingT,Tobacco ManufacturingT,
31223,31223,Tobacco Manufacturing,Tobacco Manufacturing,
312230,312230,Tobacco Manufacturing,Tobacco Manufacturing,
11191,11191,Tobacco FarmingT,Tobacco FarmingT,
111910,111910,Tobacco Farming,Tobacco Farming,
541191,541191,Title Abstract and Settlement Offices,Title Abstract and Settlement Offices,
326212,326212,Tire Retreading,Tire Retreading,
32621,32621,Tire ManufacturingT,Tire ManufacturingT,
326211,326211,Tire Manufacturing (except Retreading),Tire Manufacturing (except Retreading),
42313,42313,Tire and Tube Merchant Wholesalers,Tire and Tube Merchant Wholesalers,
423130,423130,Tire and Tube Merchant Wholesalers,Tire and Tube Merchant Wholesalers,
1131,1131,Timber Tract OperationsT,Timber Tract OperationsT,
11311,11311,Timber Tract OperationsT,Timber Tract OperationsT,
113110,113110,Timber Tract Operations,Timber Tract Operations,
23834,23834,Tile and Terrazzo ContractorsT,Tile and Terrazzo ContractorsT,
238340,238340,Tile and Terrazzo Contractors,Tile and Terrazzo Contractors,
71111,71111,Theater Companies and Dinner TheatersT,Theater Companies and Dinner TheatersT,
711110,711110,Theater Companies and Dinner Theaters,Theater Companies and Dinner Theaters,
314,314,Textile Product MillsT,Textile Product MillsT,
313,313,Textile MillsT,Textile MillsT,
3141,3141,Textile Furnishings MillsT,Textile Furnishings MillsT,
31491,31491,Textile Bag and Canvas MillsT,Textile Bag and Canvas MillsT,
314910,314910,Textile Bag and Canvas Mills,Textile Bag and Canvas Mills,
31331,31331,Textile and Fabric Finishing MillsT,Textile and Fabric Finishing MillsT,
313310,313310,Textile and Fabric Finishing Mills,Textile and Fabric Finishing Mills,
3133,3133,Textile and Fabric Finishing and Fabric Coating MillsT,Textile and Fabric Finishing and Fabric Coating MillsT,
54138,54138,Testing LaboratoriesT,Testing Laboratories and ServicesT,*
541380,541380,Testing Laboratories,Testing Laboratories and Services,*
624221,624221,Temporary Shelters,Temporary Shelters,
56132,56132,Temporary Help ServicesT,Temporary Help ServicesT,
561320,561320,Temporary Help Services,Temporary Help Services,
512191,512191,Teleproduction and Other Postproduction Services,Teleproduction and Other Postproduction Services,
56142,56142,Telephone Call CentersT,Telephone Call CentersT,
33421,33421,Telephone Apparatus ManufacturingT,Telephone Apparatus ManufacturingT,
334210,334210,Telephone Apparatus Manufacturing,Telephone Apparatus Manufacturing,
561421,561421,Telephone Answering Services,Telephone Answering Services,
561422,561422,Telemarketing Bureaus and Other Contact Centers,Telemarketing Bureaus and Other Contact Centers,
517,517,TelecommunicationsT,TelecommunicationsT,
6115,6115,Technical and Trade SchoolsT,Technical and Trade SchoolsT,
61151,61151,Technical and Trade SchoolsT,Technical and Trade SchoolsT,
48531,48531,Taxi ServiceT,Taxi and Ridesharing ServicesT,*
485310,485310,Taxi Service,Taxi and Ridesharing Services,*
4853,4853,Taxi and Limousine ServiceT,Taxi and Limousine ServiceT,
541213,541213,Tax Preparation Services,Tax Preparation Services,
325212,325212,Synthetic Rubber Manufacturing,Synthetic Rubber Manufacturing,
32513,32513,Synthetic Dye and Pigment ManufacturingT,Synthetic Dye and Pigment ManufacturingT,
325130,325130,Synthetic Dye and Pigment Manufacturing,Synthetic Dye and Pigment Manufacturing,
335313,335313,Switchgear and Switchboard Apparatus Manufacturing,Switchgear and Switchboard Apparatus Manufacturing,
54137,54137,Surveying and Mapping (except Geophysical) ServicesT,Surveying and Mapping (except Geophysical) ServicesT,
541370,541370,Surveying and Mapping (except Geophysical) Services,Surveying and Mapping (except Geophysical) Services,
339113,339113,Surgical Appliance and Supplies Manufacturing,Surgical Appliance and Supplies Manufacturing,
339112,339112,Surgical and Medical Instrument Manufacturing,Surgical and Medical Instrument Manufacturing,
325613,325613,Surface Active Agent Manufacturing,Surface Active Agent Manufacturing,
4883,4883,Support Activities for Water TransportationT,Support Activities for Water TransportationT,
488,488,Support Activities for TransportationT,Support Activities for TransportationT,
4884,4884,Support Activities for Road TransportationT,Support Activities for Road TransportationT,
4882,4882,Support Activities for Rail TransportationT,Support Activities for Rail TransportationT,
48821,48821,Support Activities for Rail TransportationT,Support Activities for Rail TransportationT,
488210,488210,Support Activities for Rail Transportation,Support Activities for Rail Transportation,
32312,32312,Support Activities for PrintingT,Support Activities for PrintingT,
323120,323120,Support Activities for Printing,Support Activities for Printing,
213112,213112,Support Activities for Oil and Gas Operations,Support Activities for Oil and Gas Operations,
213115,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,Support Activities for Nonmetallic Minerals (except Fuels) Mining,
213,213,Support Activities for MiningT,Support Activities for MiningT,
2131,2131,Support Activities for MiningT,Support Activities for MiningT,
21311,21311,Support Activities for MiningT,Support Activities for MiningT,
213114,213114,Support Activities for Metal Mining,Support Activities for Metal Mining,
1153,1153,Support Activities for ForestryT,Support Activities for ForestryT,
11531,11531,Support Activities for ForestryT,Support Activities for ForestryT,
115310,115310,Support Activities for Forestry,Support Activities for Forestry,
1151,1151,Support Activities for Crop ProductionT,Support Activities for Crop ProductionT,
11511,11511,Support Activities for Crop ProductionT,Support Activities for Crop ProductionT,
213113,213113,Support Activities for Coal Mining,Support Activities for Coal Mining,
1152,1152,Support Activities for Animal ProductionT,Support Activities for Animal ProductionT,
11521,11521,Support Activities for Animal ProductionT,Support Activities for Animal ProductionT,
115210,115210,Support Activities for Animal Production,Support Activities for Animal Production,
4881,4881,Support Activities for Air TransportationT,Support Activities for Air TransportationT,
115,115,Support Activities for Agriculture and ForestryT,Support Activities for Agriculture and ForestryT,
44511,44511,Supermarkets and Other Grocery (except Convenience) Stores,Supermarkets and Other Grocery Retailers (except Convenience Retailers),*
445110,445110,Supermarkets and Other Grocery (except Convenience) Stores,Supermarkets and Other Grocery Retailers (except Convenience Retailers),*
11193,11193,Sugarcane FarmingT,Sugarcane FarmingT,
111930,111930,Sugarcane Farming,Sugarcane Farming,
31131,31131,Sugar ManufacturingT,Sugar ManufacturingT,
111991,111991,Sugar Beet Farming,Sugar Beet Farming,
3113,3113,Sugar and Confectionery Product ManufacturingT,Sugar and Confectionery Product ManufacturingT,
23812,23812,Structural Steel and Precast Concrete Contractors,Structural Steel and Precast Concrete Contractors,
238120,238120,Structural Steel and Precast Concrete Contractors,Structural Steel and Precast Concrete Contractors,
111333,111333,Strawberry Farming,Strawberry Farming,
21231,21231,Stone Mining and QuarryingT,Stone Mining and QuarryingT,
331222,331222,Steel Wire Drawing,Steel Wire Drawing,
3312,3312,Steel Product Manufacturing from Purchased SteelT,Steel Product Manufacturing from Purchased SteelT,
331512,331512,Steel Investment Foundries,Steel Investment Foundries,
331513,331513,Steel Foundries (except Investment),Steel Foundries (except Investment),
22133,22133,Steam and Air-Conditioning Supply,Steam and Air-Conditioning Supply,
221330,221330,Steam and Air-Conditioning Supply,Steam and Air-Conditioning Supply,
32223,32223,Stationery Product ManufacturingT,Stationery Product ManufacturingT,
322230,322230,Stationery Product Manufacturing,Stationery Product Manufacturing,
42412,42412,Stationery and Office Supplies Merchant Wholesalers,Stationery and Office Supplies Merchant Wholesalers,
424120,424120,Stationery and Office Supplies Merchant Wholesalers,Stationery and Office Supplies Merchant Wholesalers,
31122,31122,Starch and Vegetable Fats and Oils ManufacturingT,Starch and Vegetable Fats and Oils ManufacturingT,
332613,332613,Spring Manufacturing,Spring Manufacturing,
3326,3326,Spring and Wire Product ManufacturingT,Spring and Wire Product ManufacturingT,
33261,33261,Spring and Wire Product ManufacturingT,Spring and Wire Product ManufacturingT,
711211,711211,Sports Teams and Clubs,Sports Teams and Clubs,
61162,61162,Sports and Recreation InstructionT,Sports and Recreation InstructionT,
611620,611620,Sports and Recreation Instruction,Sports and Recreation Instruction,
42391,42391,Sporting and Recreational Goods and Supplies Merchant Wholesalers,Sporting and Recreational Goods and Supplies Merchant Wholesalers,
423910,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,Sporting and Recreational Goods and Supplies Merchant Wholesalers,
33992,33992,Sporting and Athletic Goods ManufacturingT,Sporting and Athletic Goods ManufacturingT,
339920,339920,Sporting and Athletic Goods Manufacturing,Sporting and Athletic Goods Manufacturing,
311942,311942,Spice and Extract Manufacturing,Spice and Extract Manufacturing,
333612,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing","Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",
7112,7112,Spectator SportsT,Spectator SportsT,
71121,71121,Spectator SportsT,Spectator SportsT,
238,238,Specialty Trade ContractorsT,Specialty Trade ContractorsT,
4452,4452,Specialty Food Stores,Specialty Food Retailers,****
311422,311422,Specialty Canning,Specialty Canning,
6223,6223,Specialty (except Psychiatric and Substance Abuse) HospitalsT,Specialty (except Psychiatric and Substance Abuse) HospitalsT,
62231,62231,Specialty (except Psychiatric and Substance Abuse) HospitalsT,Specialty (except Psychiatric and Substance Abuse) HospitalsT,
622310,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,Specialty (except Psychiatric and Substance Abuse) Hospitals,
4842,4842,Specialized Freight TruckingT,Specialized Freight TruckingT,
48423,48423,"Specialized Freight (except Used Goods) Trucking, Long-DistanceT","Specialized Freight (except Used Goods) Trucking, Long-DistanceT",
484230,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance","Specialized Freight (except Used Goods) Trucking, Long-Distance",
48422,48422,"Specialized Freight (except Used Goods) Trucking, LocalT","Specialized Freight (except Used Goods) Trucking, LocalT",
484220,484220,"Specialized Freight (except Used Goods) Trucking, Local","Specialized Freight (except Used Goods) Trucking, Local",
5414,5414,Specialized Design ServicesT,Specialized Design ServicesT,
485991,485991,Special Needs Transportation,Special Needs Transportation,
7223,7223,Special Food ServicesT,Special Food ServicesT,
333514,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing","Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",
927,927,Space Research and Technology,Space Research and Technology,
9271,9271,Space Research and Technology,Space Research and Technology,
92711,92711,Space Research and Technology,Space Research and Technology,
927110,927110,Space Research and Technology,Space Research and Technology,
11111,11111,Soybean FarmingT,Soybean FarmingT,
111110,111110,Soybean Farming,Soybean Farming,
311224,311224,Soybean and Other Oilseed Processing,Soybean and Other Oilseed Processing,
51224,51224,Sound Recording StudiosT,Sound Recording StudiosT,
512240,512240,Sound Recording Studios,Sound Recording Studios,
5122,5122,Sound Recording IndustriesT,Sound Recording IndustriesT,
562212,562212,Solid Waste Landfill,Solid Waste Landfill,
562213,562213,Solid Waste Combustors and Incinerators,Solid Waste Combustors and Incinerators,
562111,562111,Solid Waste Collection,Solid Waste Collection,
221114,221114,Solar Electric Power Generation,Solar Electric Power Generation,
115112,115112,"Soil Preparation, Planting, and Cultivating","Soil Preparation, Planting, and Cultivating",
321212,321212,Softwood Veneer and Plywood Manufacturing,Softwood Veneer and Plywood Manufacturing,
312111,312111,Soft Drink Manufacturing,Soft Drink Manufacturing,
31211,31211,Soft Drink and Ice ManufacturingT,Soft Drink and Ice ManufacturingT,
624,624,Social AssistanceT,Social AssistanceT,
8133,8133,Social Advocacy Organizations,Social Advocacy Organizations,
81331,81331,Social Advocacy Organizations,Social Advocacy Organizations,
3256,3256,"Soap, Cleaning Compound, and Toilet Preparation ManufacturingT","Soap, Cleaning Compound, and Toilet Preparation ManufacturingT",
325611,325611,Soap and Other Detergent Manufacturing,Soap and Other Detergent Manufacturing,
32561,32561,Soap and Cleaning Compound ManufacturingT,Soap and Cleaning Compound ManufacturingT,
31191,31191,Snack Food ManufacturingT,Snack Food ManufacturingT,
722515,722515,Snack and Nonalcoholic Beverage Bars,Snack and Nonalcoholic Beverage Bars,
33521,33521,Small Electrical Appliance ManufacturingT,Small Electrical Appliance ManufacturingT,
335210,335210,Small Electrical Appliance Manufacturing,Small Electrical Appliance Manufacturing,
332994,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing","Small Arms, Ordnance, and Ordnance Accessories Manufacturing",
332992,332992,Small Arms Ammunition Manufacturing,Small Arms Ammunition Manufacturing,
71392,71392,Skiing FacilitiesT,Skiing FacilitiesT,
713920,713920,Skiing Facilities,Skiing Facilities,
23891,23891,Site Preparation ContractorsT,Site Preparation ContractorsT,
238910,238910,Site Preparation Contractors,Site Preparation Contractors,
33995,33995,Sign ManufacturingT,Sign ManufacturingT,
339950,339950,Sign Manufacturing,Sign Manufacturing,
23817,23817,Siding Contractors,Siding Contractors,
238170,238170,Siding Contractors,Siding Contractors,
337215,337215,"Showcase, Partition, Shelving, and Locker Manufacturing","Showcase, Partition, Shelving, and Locker Manufacturing",
482112,482112,Short Line Railroads,Short Line Railroads,
336611,336611,Ship Building and Repairing,Ship Building and Repairing,
3366,3366,Ship and Boat BuildingT,Ship and Boat BuildingT,
33661,33661,Ship and Boat BuildingT,Ship and Boat BuildingT,
114112,114112,Shellfish Fishing,Shellfish Fishing,
112512,112512,Shellfish Farming,Shellfish Farming,
332322,332322,Sheet Metal Work Manufacturing,Sheet Metal Work Manufacturing,
11241,11241,Sheep FarmingT,Sheep FarmingT,
112410,112410,Sheep Farming,Sheep Farming,
1124,1124,Sheep and Goat FarmingT,Sheep and Goat FarmingT,
22132,22132,Sewage Treatment Facilities,Sewage Treatment Facilities,
221320,221320,Sewage Treatment Facilities,Sewage Treatment Facilities,
5617,5617,Services to Buildings and DwellingsT,Services to Buildings and DwellingsT,
62412,62412,Services for the Elderly and Persons with DisabilitiesT,Services for the Elderly and Persons with DisabilitiesT,
624120,624120,Services for the Elderly and Persons with Disabilities,Services for the Elderly and Persons with Disabilities,
42385,42385,Service Establishment Equipment and Supplies Merchant Wholesalers,Service Establishment Equipment and Supplies Merchant Wholesalers,
423850,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,Service Establishment Equipment and Supplies Merchant Wholesalers,
562991,562991,Septic Tank and Related Services,Septic Tank and Related Services,
333242,333242,Semiconductor Machinery Manufacturing,Semiconductor Machinery Manufacturing,
334413,334413,Semiconductor and Related Device Manufacturing,Semiconductor and Related Device Manufacturing,
3344,3344,Semiconductor and Other Electronic Component ManufacturingT,Semiconductor and Other Electronic Component ManufacturingT,
33441,33441,Semiconductor and Other Electronic Component ManufacturingT,Semiconductor and Other Electronic Component ManufacturingT,
56162,56162,Security Systems ServicesT,Security Systems ServicesT,
561621,561621,Security Systems Services (except Locksmiths),Security Systems Services (except Locksmiths),
561612,561612,Security Guards and Patrol Services,Security Guards and Patrol Services,
523,523,"Securities, Commodity Contracts, and Other Financial Investments and Related ActivitiesT","Securities, Commodity Contracts, and Other Financial Investments and Related ActivitiesT",
5232,5232,Securities and Commodity ExchangesT,Securities and Commodity ExchangesT,
52321,52321,Securities and Commodity ExchangesT,Securities and Commodity ExchangesT,
523210,523210,Securities and Commodity Exchanges,Securities and Commodity Exchanges,
5231,5231,Securities and Commodity Contracts Intermediation and BrokerageT,Securities and Commodity Contracts Intermediation and BrokerageT,
331492,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",
331314,331314,Secondary Smelting and Alloying of Aluminum,Secondary Smelting and Alloying of Aluminum,
31194,31194,Seasoning and Dressing ManufacturingT,Seasoning and Dressing ManufacturingT,
334511,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
3117,3117,Seafood Product Preparation and PackagingT,Seafood Product Preparation and PackagingT,
31171,31171,Seafood Product Preparation and PackagingT,Seafood Product Preparation and PackagingT,
311710,311710,Seafood Product Preparation and Packaging,Seafood Product Preparation and Packaging,
5417,5417,Scientific Research and Development ServicesT,Scientific Research and Development ServicesT,
4854,4854,School and Employee Bus TransportationT,School and Employee Bus TransportationT,
48541,48541,School and Employee Bus TransportationT,School and Employee Bus TransportationT,
485410,485410,School and Employee Bus Transportation,School and Employee Bus Transportation,
481111,481111,Scheduled Passenger Air Transportation,Scheduled Passenger Air Transportation,
481112,481112,Scheduled Freight Air Transportation,Scheduled Freight Air Transportation,
4811,4811,Scheduled Air TransportationT,Scheduled Air TransportationT,
48111,48111,Scheduled Air TransportationT,Scheduled Air TransportationT,
487,487,Scenic and Sightseeing TransportationT,Scenic and Sightseeing TransportationT,
4872,4872,"Scenic and Sightseeing Transportation, WaterT","Scenic and Sightseeing Transportation, WaterT",
48721,48721,"Scenic and Sightseeing Transportation, WaterT","Scenic and Sightseeing Transportation, WaterT",
487210,487210,"Scenic and Sightseeing Transportation, Water","Scenic and Sightseeing Transportation, Water",
4879,4879,"Scenic and Sightseeing Transportation, OtherT","Scenic and Sightseeing Transportation, OtherT",
48799,48799,"Scenic and Sightseeing Transportation, OtherT","Scenic and Sightseeing Transportation, OtherT",
487990,487990,"Scenic and Sightseeing Transportation, Other","Scenic and Sightseeing Transportation, Other",
4871,4871,"Scenic and Sightseeing Transportation, LandT","Scenic and Sightseeing Transportation, LandT",
48711,48711,"Scenic and Sightseeing Transportation, LandT","Scenic and Sightseeing Transportation, LandT",
487110,487110,"Scenic and Sightseeing Transportation, Land","Scenic and Sightseeing Transportation, Land",
3211,3211,Sawmills and Wood PreservationT,Sawmills and Wood PreservationT,
32111,32111,Sawmills and Wood PreservationT,Sawmills and Wood PreservationT,
321113,321113,Sawmills,Sawmills,
333243,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing","Sawmill, Woodworking, and Paper Machinery Manufacturing",
332216,332216,Saw Blade and Handtool Manufacturing,Saw Blade and Handtool Manufacturing,
5174,5174,Satellite TelecommunicationsT,Satellite TelecommunicationsT,
51741,51741,Satellite TelecommunicationsT,Satellite TelecommunicationsT,
517410,517410,Satellite Telecommunications,Satellite Telecommunications,
322291,322291,Sanitary Paper Product Manufacturing,Sanitary Paper Product Manufacturing,
21232,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and QuarryingT","Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and QuarryingT",
52222,52222,Sales Financing,Sales Financing,
522220,522220,Sales Financing,Sales Financing,
7212,7212,RV (Recreational Vehicle) Parks and Recreational CampsT,RV (Recreational Vehicle) Parks and Recreational CampsT,
72121,72121,RV (Recreational Vehicle) Parks and Recreational CampsT,RV (Recreational Vehicle) Parks and Recreational CampsT,
721211,721211,RV (Recreational Vehicle) Parks and Campgrounds,RV (Recreational Vehicle) Parks and Campgrounds,
3262,3262,Rubber Product ManufacturingT,Rubber Product ManufacturingT,
326291,326291,Rubber Product Manufacturing for Mechanical Use,Rubber Product Manufacturing for Mechanical Use,
32622,32622,Rubber and Plastics Hoses and Belting ManufacturingT,Rubber and Plastics Hoses and Belting ManufacturingT,
326220,326220,Rubber and Plastics Hoses and Belting Manufacturing,Rubber and Plastics Hoses and Belting Manufacturing,
314994,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills","Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",
7213,7213,"Rooming and Boarding Houses, Dormitories, and Workers' CampsT","Rooming and Boarding Houses, Dormitories, and Workers' CampsT",
